Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier,Mileage,Partnumber,Family
Ashok Leyland,2019,43661,QC-2019-9826,Engine misfiring,"U102F, P1D3F, P31AC, P0341, P020D",ECU confirmed to specification,According to Specification,,17315KM,1647.098.753,HV 14.5.38
Toyota,2020,43941,QC-2020-7334,Engine misfiring,"U0100, P11CD, P0213, P02B5",ECU Confirmed to specification,Customer Failure,,46784KM,2163.879.045,WK 83.2.50
Hyundai,2023,44998,QC-2023-3165,MIL GLOWING,"P3093, P11AE, P1277, U0424, P2306",103 track burnt due to EOS,Production Failure,,17002KM,3847.291.506,KF 28.4.63
Honda,2022,44751,QC-2022-7213,MIL GLOWING,"P0455, P11B6",ECU confirmed to specification.,Production Failure,STM,9915KM,1647.098.753,BX 42.3.17
Honda,2019,43520,QC-2019-5538,MIL GLOWING,"P1D4A, P2309, P06E2, P2334, P2316",ECU confirmed to specification.,Customer Failure,,9065KM,1647.098.753,KF 28.4.63
Toyota,2022,44872,QC-2022-9736,MIL GLOWING,"P31A5, P11CE, U0202",ECU confirmed to specification.,Production Failure,Bosch,32893KM,8795.234.106,JR 19.6.84
M&M,2024,45302,QC-2024-4178,VEHICLE JERKING,"U102B, U0114, U010C, U030B, U0141",ECU confirmed to specification.,According to Specification,,5397KM,5612.748.093,YC 72.4.61
Hyundai,2022,44692,QC-2022-6159,MIL GLOWING,"P0301, P0455",ECU confirmed to specification.,According to Specification,STM,2764KM,6103.825.479,HV 14.5.38
Kia,2022,44664,QC-2022-7889,MIL GLOWING,"P31B8, P0332",ECU confirmed to specification,Customer Failure,Delphi,574KM,2784.913.650,YC 72.4.61
Honda,2024,45407,QC-2024-1957,MIL GLOWING,"U02A3, P0327, U100A, P06E2",Multiple tracks burnt due to EOS,Customer Failure,,11770KM,1647.098.753,KF 28.4.63
Ashok Leyland,2021,44488,QC-2021-1851,IN RUNNING CONDITIOIN SUDDENLY STOPPD,"U103E, P3041, P1610, U0417",Failure disappeared during analysis,According to Specification,Valeo,37833KM,9067.342.185,DM 39.1.76
Hyundai,2024,45317,QC-2024-8229,MIL GLOWING,"U0415, P06FA, P0332",GNDAS_SENS1_103 track burnt due to EOS,Production Failure,Valeo,27952KM,4382.510.967,WK 83.2.50
Kia,2020,43858,QC-2020-5280,MIL GLOWING,"P12D6, P12B3",Multiple Tracks burnt due to EOS,Production Failure,Bosch,19835KM,9241.653.870,HV 14.5.38
Toyota,2022,44781,QC-2022-4565,MIL GLOWING,"U103B, P12D4",ECU confirmed to specification,According to Specification,Valeo,10120KM,5612.748.093,JR 19.6.84
M&M,2020,43970,QC-2020-3034,MIL GLOWING,"P2090, P2092, P06C4, P0014",ECU confirmed to specification,Production Failure,STM,33238KM,3271.584.960,AE 48.7.13
Honda,2024,45542,QC-2024-1690,MIL GLOWING,"U0424, P11CC, P3096, U102B",Multiple tracks burnt due to EOS,Production Failure,,37661KM,5612.748.093,SL 67.9.25
Ashok Leyland,2021,44554,QC-2021-4526,MIL GLOWING,"P1658, P000C, P12A8, U0114",ECU confirmed to specification,Customer Failure,,12934KM,9241.653.870,QW 56.2.90
Ashok Leyland,2021,44560,QC-2021-1765,MIL GLOWING,"P1617, P064C",CJ930 ASIC failure due to EOS,Customer Failure,STM,54935KM,5938.761.204,ME 17.9.71
Hyundai,2021,44236,QC-2021-3822,MIL GLOWING,"P2092, U041E",CJ930 ASIC failure due to EOS,According to Specification,Delphi,37390KM,3847.291.506,JR 19.6.84
Hyundai,2021,44501,QC-2021-4180,MIL GLOWING,"P12B5, P31BB, U103B, P2095, P12DF",CJ930 ASIC failure due to EOS,Production Failure,STM,59029KM,7689.145.203,YC 72.4.61
Honda,2023,45174,QC-2023-1050,MIL GLOWING,"P1386, P1D3F, P12D9, P12AB",CJ930 ASIC failure due to EOS,According to Specification,Delphi,62291KM,7016.423.895,KF 28.4.63
Ashok Leyland,2020,44018,QC-2020-3240,MIL GLOWING,"P11A7, P067A, P0393, P11BE",CJ930 ASIC failure due to EOS,Customer Failure,Bosch,16528KM,8459.067.312,CF 26.8.47
Kia,2020,43935,QC-2020-6364,DTC:-P2300,"P0301, P1640, P1388, P052F, P06D1",Connector pin melted due to EOS,Production Failure,Bosch,40337KM,3074.928.615,AE 48.7.13
Ashok Leyland,2019,43573,QC-2019-7466,flashing not possible error,"P068B, P1604, P060F, P1D42",Connector pin melted due to EOS,Production Failure,Delphi,26439KM,2784.913.650,JR 19.6.84
TATA,2020,44065,QC-2020-6912,OBD LAMP ON,"U0499, P151B",Connector pin melted due to EOS,According to Specification,Delphi,2047KM,3847.291.506,QW 56.2.90
TATA,2019,43732,QC-2019-1038,STARTING PROBLEM,"U049D, U0419",ECU found confirming to specification,According to Specification,STM,9915KM,7016.423.895,CF 26.8.47
Ashok Leyland,2023,45098,QC-2023-3648,Vehicle not start,"P0301, P0455, U0037, U0038",Connector pin melted due to EOS,Production Failure,STM,46784KM,7689.145.203,CF 26.8.47
M&M,2022,44911,QC-2022-2079,engine lamp On,"P06D2, P1386, U140A, P0611",Connector pin melted due to EOS,Customer Failure,Valeo,17315KM,4382.510.967,TR 15.7.82
Kia,2023,45080,QC-2023-9994,Engine misfiring,"P02B5, P0280, P11BC",Connector pin melted due to EOS,According to Specification,,670KM,4382.510.967,JR 19.6.84
TATA,2023,45011,QC-2023-6895,Engine misfiring,"P12E5, P2340",CJ930 ASIC failure,According to Specification,Hanon,433KM,5612.748.093,NZ 21.8.44
Kia,2020,44159,QC-2020-5412,Starting problem,"U0452, U02A3, U0417",Connector pin melted due to EOS,According to Specification,Delphi,62291KM,7834.156.920,AE 48.7.13
TATA,2022,44681,QC-2022-3028,-Diagnose - Datenliste geprüft n.i.O ...,"P0455, P0641",Connector pin melted due to EOS,Production Failure,Valeo,12843KM,9241.653.870,YC 72.4.61
Toyota,2023,45135,QC-2023-7157,ECU pin bend,"P0301, U0100, P0651, P068B, P1603",Connector pin melted due to EOS,According to Specification,STM,90KM,1647.098.753,DM 39.1.76
Ashok Leyland,2020,44142,QC-2020-6158,SMG Trial part ( without assy ),"P1602, P3092, P06D1, P06A3",Connector pin melted due to EOS,According to Specification,,10120KM,3271.584.960,JR 19.6.84
Honda,2023,45008,QC-2023-6496,Negative response,"P0611, P1686, P0560",Connector pin melted due to EOS,Customer Failure,Delphi,18324KM,9241.653.870,ME 17.9.71
Ashok Leyland,2021,44453,QC-2021-7384,PIN BEND ISSUE.,"P3099, P0641, U0442, P2610, P0605",Connector pin melted due to EOS,According to Specification,STM,2047KM,8795.234.106,YC 72.4.61
Hyundai,2023,45006,QC-2023-2515,EDC DIAGONOSTIC LAMP GLOWING,"P1D49, P2327, P12DD, P0675, P0673",ECU confirmed to specification.,Customer Failure,Bosch,12843KM,4382.510.967,SL 67.9.25
Ashok Leyland,2019,43502,QC-2019-3136,ENGINE NOT STARTING - EDC,"P3097, P3098, P151B, P3052, U0452",CJ930 ASIC failure,Production Failure,Hanon,10098KM,3074.928.615,PG 33.6.59
Toyota,2024,45509,QC-2024-1380,EDC LIGHT ON AND POOR PICK UP,"P06B0, P106A, P1545",CJ930 ASIC failure,Customer Failure,Valeo,17315KM,3074.928.615,KF 28.4.63
Hyundai,2023,45173,QC-2023-5413,EDC DIAGONOSTIC LAMP GLOWING,"P0352, P0605, P0651",CJ930 ASIC failure,Production Failure,STM,37390KM,6508.317.492,DM 39.1.76
TATA,2020,43894,QC-2020-3430,ENGINE NOT ACCELERATING - EDC,"P3094, P1604, P1610",CJ930 ASIC failure,Customer Failure,Delphi,2047KM,8459.067.312,AE 48.7.13
Kia,2021,44500,QC-2021-3833,Warnblinkanlage und Alarmanlage,"P060A, P1D3E, P0611",CJ930 ASIC failure,According to Specification,Hanon,16528KM,9067.342.185,PG 33.6.59
Toyota,2019,43760,QC-2019-8436,VEHICLE WILL NOT START,"P1682, P3053",CJ930 ASIC failure,According to Specification,Valeo,15214KM,1647.098.753,WK 83.2.50
Hyundai,2019,43493,QC-2019-7532,Motor springt nicht an,"P0600, P1603, P163E, P06B0, P060D",CJ930 ASIC failure,Production Failure,,62291KM,8795.234.106,AE 48.7.13
M&M,2019,43664,QC-2019-2461,Fehlermeldung Spurwechselassistent,"P0455, P3096, P1D44",CJ930 ASIC failure,Customer Failure,Bosch,19835KM,6103.825.479,HV 14.5.38
Honda,2022,44849,QC-2022-1106,"BCM, Kabelsätze, Frontkamera el. Feh ...","P0301, P06F9, P1D42, U0115, P1D40",CJ930 ASIC failure,According to Specification,Valeo,17315KM,4521.673.841,WK 83.2.50
TATA,2022,44863,QC-2022-5657,VEHICLE NOT STARTING,"U0100, P1387",CJ930 ASIC failure,Customer Failure,Valeo,33238KM,3847.291.506,SL 67.9.25
M&M,2021,44399,QC-2021-7403,VEHICLE NOT STARTING,"P1D42, P1939, P3051, P3052",VI NOK,According to Specification,Valeo,90KM,8459.067.312,NZ 21.8.44
Ashok Leyland,2020,44177,QC-2020-6239,Starting Problem,"P1D49, P1D44, U0038, U045A, U0302",Multiple Tracks burnt due to EOS,According to Specification,STM,9915KM,8459.067.312,WK 83.2.50
TATA,2020,43887,QC-2020-9539,OBD lamp on,"P0455, U019C, U0464, U0141",Multiple Tracks burnt due to EOS,According to Specification,Hanon,5743KM,1293.847.562,NZ 21.8.44
Honda,2020,44098,QC-2020-9904,STARTING PROBLEM,"P0301, P3092, P0605",Multiple Tracks burnt due to EOS,Customer Failure,Valeo,67219KM,6103.825.479,CF 26.8.47
Toyota,2020,44002,QC-2020-5003,MIL GLOWING,"P0455, P31A1",106 sensor GND track burnt due to EOS,According to Specification,STM,10120KM,9241.653.870,ME 17.9.71
Hyundai,2022,44828,QC-2022-8593,MIL Lamp continously glowing in OFF cond,"P0301, P12DF, P12D9",ECU confirmed to specification,According to Specification,Delphi,2764KM,3271.584.960,AE 48.7.13
Kia,2024,45564,QC-2024-8216,DTC :- P0032,"P1604, P163E, P1D42, U0301",CJ930 ASIC failure,According to Specification,,9915KM,7016.423.895,KF 28.4.63
Kia,2024,45314,QC-2024-7361,New BCM not working automatic light,"P0455, P06A3, P1D3F, U0100, P1D49",CJ930 ASIC failure,Customer Failure,Delphi,86471KM,3074.928.615,KF 28.4.63
Ashok Leyland,2019,43772,QC-2019-4265,"Engine check lamp on, abnormal sound","U0100, P06A3, P1386, U0301",CJ930 ASIC failure,According to Specification,Valeo,10098KM,1647.098.753,BX 42.3.17
Honda,2023,45275,QC-2023-3823,VEHICLE BROKE DOWN AT KHANDALA GHAT FOR,"U0100, P1D3C, P1D3B, P1D42, P3325",Connector pin melted due to EOS,Customer Failure,Hanon,2764KM,5612.748.093,HV 14.5.38
Ashok Leyland,2022,44689,QC-2022-5342,ENGINE NOT START,"U019B, U0235, P3053, P3096, P0617",Connector pin melted due to EOS,Customer Failure,STM,433KM,7689.145.203,NZ 21.8.44
Hyundai,2024,45576,QC-2024-2625,MIL GLOWING,"P0301, P1610, P11BF",Connector pin melted due to EOS,According to Specification,Hanon,12843KM,8459.067.312,BX 42.3.17
M&M,2024,45370,QC-2024-9765,ENGINE NOT START,"P1388, P20FF, P1D43",Connector pin melted due to EOS,Customer Failure,Delphi,37833KM,5938.761.204,NZ 21.8.44
Honda,2023,45041,QC-2023-2416,MIL GLOWING,"P0301, U1003",Connector pin melted due to EOS,According to Specification,Valeo,433KM,8459.067.312,SL 67.9.25
Kia,2022,44693,QC-2022-4831,MIL GLOWING,"P0681, U045A, U0159, P06BC, P11DC",Connector pin melted due to EOS,Production Failure,STM,574KM,8459.067.312,TR 15.7.82
Ashok Leyland,2020,44111,QC-2020-9912,Driver door lock SW FLT,"P0301, U0100, P1D3C, P06D1",VI NOK,According to Specification,STM,574KM,7689.145.203,YC 72.4.61
M&M,2023,45290,QC-2023-5657,ENGINE NOT START,"P060A, U0199, U1121, P151B, P0606",CJ930 ASIC failure due to EOS,Production Failure,Delphi,17002KM,3847.291.506,KF 28.4.63
M&M,2020,44054,QC-2020-1038,ENGINE NOT START,"P0301, P0455, U0163, U100F, P1939",CJ930 ASIC failure due to EOS,Production Failure,Delphi,18324KM,7834.156.920,ME 17.9.71
M&M,2024,45619,QC-2024-9609,POOR PICK-UP,"P1D4A, P1D43, P106A",CJ930 ASIC failure due to EOS,Production Failure,Delphi,37661KM,3271.584.960,HV 14.5.38
Kia,2020,43916,QC-2020-2249,ENGINE NOT START,"P0455, P1D44",ECU failure due to contamination,According to Specification,Bosch,62291KM,3074.928.615,CF 26.8.47
Honda,2019,43595,QC-2019-7741,ENGINE NOT START,"U0425, U0166, P1658",CJ930 ASIC failure,According to Specification,,26439KM,7016.423.895,TR 15.7.82
TATA,2022,44623,QC-2022-7299,MIL GLOWING,"U0100, P06BF, U0301, U0200, P2321",106 APP2 track burnt due to EOS,According to Specification,Bosch,37833KM,8459.067.312,SL 67.9.25
TATA,2021,44507,QC-2021-5470,ENGINE NOT START,"U0131, P0605, U0447, P3050",CJ930 ASIC failed due to EOS,Customer Failure,Bosch,12843KM,9067.342.185,SL 67.9.25
Honda,2021,44445,QC-2021-2740,MIL GLOWING,"P0455, P0353, P1D4A",CJ930 ASIC failed due to EOS,Customer Failure,Delphi,16528KM,8795.234.106,AE 48.7.13
TATA,2020,44127,QC-2020-1148,MIL GLOWING,"P0301, P0332, P11DA",CJ930 ASIC failed due to EOS,Production Failure,Valeo,9065KM,8795.234.106,WK 83.2.50
TATA,2020,44043,QC-2020-1244,MIL GLOWING,"U0100, P04DB",ECU confirmed to specification,Production Failure,Delphi,11770KM,3847.291.506,WK 83.2.50
Ashok Leyland,2024,45493,QC-2024-7285,ENGINE KNOCKING,"P0353, P02B1",ECU confirmed to specification,Production Failure,Valeo,40337KM,8795.234.106,HV 14.5.38
Ashok Leyland,2020,43959,QC-2020-8188,MIL GLOWING,"P0455, U0100",ECU confirmed to specification,According to Specification,,15214KM,3847.291.506,SL 67.9.25
M&M,2022,44725,QC-2022-4177,ENGINE NOT START,"U0100, P3096",CJ930 ASIC failed due to EOS,Production Failure,,151KM,8795.234.106,YC 72.4.61
Hyundai,2021,44222,QC-2021-5838,MIL GLOWING,"P31BD, P12D3, P0605, P06CC, P067A",CJ930 ASIC failed due to EOS,According to Specification,Valeo,18324KM,5612.748.093,ME 17.9.71
Hyundai,2023,45049,QC-2023-1013,ENGINE NOT START,"P0455, U0401",CJ930 ASIC failed due to EOS,Production Failure,Bosch,17315KM,5938.761.204,HV 14.5.38
Honda,2022,44726,QC-2022-9888,ENGINE NOT START,"P06A3, P3088, P0685",CJ930 ASIC failed due to EOS,Customer Failure,Valeo,9065KM,2163.879.045,TR 15.7.82
M&M,2022,44830,QC-2022-9476,MIL GLOWING,"U0100, P12DE, P31B6, P12E1, U0323",CJ930 ASIC failed due to EOS,Customer Failure,Bosch,12843KM,9241.653.870,JR 19.6.84
Honda,2022,44639,QC-2022-6970,Noise during the key teaching process,"U0442, P06F9, P1D3E, P0560",CJ930 ASIC failed due to EOS,Customer Failure,,17315KM,2784.913.650,HV 14.5.38
Kia,2019,43795,QC-2019-1988,Noise during the key teaching process,"P0301, P0685, P068B",106 Sensor GND track burnt due to EOS,Customer Failure,,433KM,4382.510.967,DM 39.1.76
Kia,2021,44459,QC-2021-5602,Check warning light glowing,"P12C4, P12A9, P0677, U0422",106 sensor GND track burnt due to EOS,Customer Failure,Delphi,37833KM,5612.748.093,JR 19.6.84
Hyundai,2023,45212,QC-2023-3169,Wiring kit,"P1602, P308F, P057B, P3094, P1559",106 APP2 track burnt due to EOS,According to Specification,STM,9915KM,3074.928.615,ME 17.9.71
TATA,2023,44928,QC-2023-1037,Engine can’t start due to BCM malfunctio,"P06A3, P1640, U0421, U102B, U0111",D3002 diode failure due to EOS,According to Specification,Valeo,37661KM,1293.847.562,YC 72.4.61
Honda,2023,45026,QC-2023-5827,Engine signag,"P1603, P06F9",Connector pin melted due to EOS,Production Failure,Delphi,11770KM,8459.067.312,BX 42.3.17
M&M,2021,44399,QC-2021-8508,160nos wrong received,"P2247, P1D44",Connector pin melted due to EOS,Customer Failure,STM,67219KM,7689.145.203,HV 14.5.38
Toyota,2024,45532,QC-2024-2808,Engine cylinder 3 ignition coil burning,"U0100, P2146, P0269, P12D6",Connector pin melted due to EOS,Customer Failure,Bosch,11770KM,9241.653.870,KF 28.4.63
M&M,2022,44909,QC-2022-9486,ENGINE NOT START,"U0100, P3054, U1121",Connector pin melted due to EOS,Production Failure,Bosch,574KM,7016.423.895,QW 56.2.90
Kia,2023,44978,QC-2023-7608,MIL GLOWING,"P0018, P1602, P0012, P066C",Connector pin melted due to EOS,Customer Failure,STM,10098KM,1293.847.562,KF 28.4.63
Kia,2020,44145,QC-2020-4087,MIL GLOWING,"P20FF, P11D8, P2325",Connector pin melted due to EOS,Production Failure,Hanon,9915KM,8795.234.106,QW 56.2.90
M&M,2019,43622,QC-2019-6321,ENGINE NOT START,"U102B, P052F, P3050, U0447, P3051",CJ930 ASIC failure,Production Failure,Hanon,151KM,9067.342.185,ME 17.9.71
Honda,2023,45230,QC-2023-1804,MIL GLOWING,"P0455, U0100",Multiple track burnt due to EOS,Production Failure,STM,67219KM,8459.067.312,SL 67.9.25
M&M,2024,45645,QC-2024-9899,MIL GLOWING,"P0455, P12D1, P000D, P11C3",PCB inner layer particle,According to Specification,Hanon,62291KM,8459.067.312,YC 72.4.61
Hyundai,2022,44698,QC-2022-9238,MIL GLOWING,"P2300, P0674, P12C2",CJ930 ASIC failure ,Production Failure,Bosch,46784KM,8459.067.312,SL 67.9.25
Ashok Leyland,2024,45570,QC-2024-3505,ENGINE NOT START,"P0301, P0AA6, P1D4A, P151B, U102B",CJ930 ASIC failure due to EOS,According to Specification,Delphi,67219KM,2163.879.045,KF 28.4.63
TATA,2024,45427,QC-2024-4527,Engine can't start,"P1D3B, P1932, P3097, U10F1",D3000 diode failure due to EOS,Production Failure,Hanon,37661KM,4521.673.841,JR 19.6.84
Hyundai,2024,45357,QC-2024-2461,ECM & PCM Processor Malfunctioning,"P1D49, P3092",Connector pin melted due to EOS,Customer Failure,,37833KM,6103.825.479,DM 39.1.76
Toyota,2020,43897,QC-2020-4494,Vehicle not starting,"U0163, U0146",Connector pin melted due to EOS,According to Specification,,9915KM,9067.342.185,HV 14.5.38
Honda,2020,44145,QC-2020-7391,Engine  starting Problem,"P0455, U049D, P1939, P0606, P3053",Connector pin melted due to EOS,Production Failure,STM,16528KM,4521.673.841,WK 83.2.50
TATA,2022,44840,QC-2022-3405,Mil lamp on,"P0301, U0146, P1604",Connector pin melted due to EOS,Production Failure,,17315KM,7689.145.203,TR 15.7.82
Toyota,2024,45465,QC-2024-7634,CAN communication failure.,"U0100, U040E, U0424",Connector pin melted due to EOS,Production Failure,Valeo,5397KM,5612.748.093,TR 15.7.82
Honda,2024,45364,QC-2024-4278,passing beam is still on,"U0100, P1D3C, P1D4A",Connector pin melted due to EOS,Production Failure,Hanon,12725KM,6103.825.479,CF 26.8.47
Ashok Leyland,2024,45586,QC-2024-3323,VEHICLE NOT STARTING.,"P2610, P1D40, P1D3D, U0100",CJ930 ASIC failed due to EOS,Customer Failure,,17315KM,7834.156.920,BX 42.3.17
M&M,2023,44955,QC-2023-1096,Electric function NOK,"P163E, P1D3B, P3098, P2247, P1D44",CJ930 ASIC failed due to EOS,According to Specification,Delphi,18324KM,5612.748.093,AE 48.7.13
Kia,2022,44834,QC-2022-2102,Vehicle starting problem,"U0199, P3095, U0307",CJ930 ASIC failed due to EOS,According to Specification,Hanon,5397KM,9067.342.185,DM 39.1.76
Ashok Leyland,2023,45138,QC-2023-2076,Vehicle not start,"U0200, P20FF, P0AA6, U0447",CJ930 ASIC failure,Production Failure,Hanon,90KM,6508.317.492,CF 26.8.47
Ashok Leyland,2019,43602,QC-2019-1520,Check Engine Light On,"P0301, U041E, U103B",CJ930_VSx failure due to EOS,Customer Failure,Hanon,27952KM,8795.234.106,JR 19.6.84
Toyota,2022,44897,QC-2022-4962,MIL-ON with DTC:P0264,"P0301, U1040",CJ930_VSx failure due to EOS,Production Failure,STM,9915KM,3074.928.615,DM 39.1.76
M&M,2021,44235,QC-2021-6872,Engine Indicator On When Drive,"P211F, P1602, P1D43",CJ930_VSx failure due to EOS,Production Failure,STM,151KM,7016.423.895,AE 48.7.13
Kia,2021,44252,QC-2021-6689,Indicator Check Engine Appear,"P0301, P0455, U140A, U0112, U049D",CJ930_VSx failure due to EOS,Customer Failure,Valeo,10098KM,5612.748.093,QW 56.2.90
Honda,2022,44611,QC-2022-3541,Sporadic no start,"U0425, P3096",CJ930_VSx failure due to EOS,Customer Failure,STM,40337KM,9241.653.870,PG 33.6.59
Ashok Leyland,2024,45313,QC-2024-8195,Inneraumbeleuchtung ohne Funktion,"P1602, P068B, P06A3, P160A",CJ930_VSx failure due to EOS,According to Specification,Delphi,5397KM,6103.825.479,HV 14.5.38
Kia,2019,43679,QC-2019-8272,Tachoanzeige sporadisch ohne Funktion,"U0100, U0442, P3099, P1D40, P3092",CJ930_VSx failure due to EOS,According to Specification,Hanon,10098KM,5612.748.093,HV 14.5.38
Kia,2021,44537,QC-2021-6912,Engine not starting.,"P3325, P0563, P3099",CJ930_VSx failure due to EOS,According to Specification,Hanon,54935KM,8459.067.312,JR 19.6.84
Toyota,2022,44798,QC-2022-2153,MIL Lamp symbol not glowng in cluster,"P0455, U0100, P11DB, P11C8",CJ930_VSx failure due to EOS,Production Failure,Hanon,27952KM,8459.067.312,KF 28.4.63
Honda,2023,45252,QC-2023-2460,ECU not communicating,"P0651, P068B, U140A, P1602, P2247",CJ930_VSx failure due to EOS,Production Failure,Delphi,37661KM,3847.291.506,SL 67.9.25
M&M,2022,44719,QC-2022-9209,engine indicator light on,"P0455, P0600, P1D3F",CJ930 ASIC failure,According to Specification,Valeo,86471KM,5938.761.204,BX 42.3.17
Ashok Leyland,2021,44438,QC-2021-4797,Back buzzer and lamp malfunction,"U0100, P1D42, P160A",CJ930 ASIC failed due to EOS,According to Specification,,17002KM,9241.653.870,HV 14.5.38
Ashok Leyland,2022,44772,QC-2022-9842,Starting problem,"U1207, U0307, U0029",Copper partice at inner layer,According to Specification,Bosch,670KM,5612.748.093,NZ 21.8.44
M&M,2024,45450,QC-2024-2653,Starting problem,"P1D4A, P1D42, P218A, P0685, U102B",106 APP2 track burnt due to EOS,Production Failure,Delphi,46784KM,7689.145.203,WK 83.2.50
Honda,2023,45148,QC-2023-3408,Starting problem,"P0605, P1D3C, P2133, P163E, U1122",106 APP2 track burnt due to EOS,Production Failure,,16528KM,6103.825.479,BX 42.3.17
Honda,2024,45468,QC-2024-9889,History error code,"P0301, P1D40, P1686, P3092, P160A",Pin 106 track burnt due to EOS,According to Specification,STM,62291KM,5938.761.204,ME 17.9.71
M&M,2019,43559,QC-2019-3796,History error code,"U1040, U0322",ECU confirmed to specification,Customer Failure,Bosch,17002KM,7834.156.920,HV 14.5.38
Toyota,2019,43555,QC-2019-4632,History error code,"P0607, P0641",Ground pins burnt due to EOS,According to Specification,Delphi,90KM,1293.847.562,CF 26.8.47
M&M,2023,45132,QC-2023-9881,Starting problem,"U0414, U0126, P1658, P06A3",Ground pins burnt due to EOS,Customer Failure,,10120KM,6508.317.492,QW 56.2.90
Ashok Leyland,2022,44728,QC-2022-8269,"DTC:- P0134 , P0130.","P1D42, P0064",Ground pins burnt due to EOS,Customer Failure,Hanon,90KM,8795.234.106,SL 67.9.25
TATA,2019,43501,QC-2019-1623,Indicator check engine is ON,"P0301, P0686, U0199, P0641",Ground pins burnt due to EOS,According to Specification,Delphi,27952KM,7834.156.920,WK 83.2.50
TATA,2023,45267,QC-2023-5960,Indicator check engine is ON,"U030B, U0417, P1D3E, U100A, U0452",Ground pins burnt due to EOS,According to Specification,Valeo,11770KM,6508.317.492,KF 28.4.63
M&M,2020,44155,QC-2020-1613,ECU-Not working,"P1387, P2247, P1610",Ground pins burnt due to EOS,Production Failure,Bosch,17315KM,1293.847.562,CF 26.8.47
Honda,2020,43866,QC-2020-8350,ECU-Not working,"P0651, P0641, P3097, P20FF, P1602",106 Sensor GND track burnt due to EOS,According to Specification,Hanon,670KM,6103.825.479,CF 26.8.47
Honda,2024,45443,QC-2024-2555,Navigation card not working,"U0100, P060F",CJ930 ASIC failure,Production Failure,Delphi,37390KM,2784.913.650,ME 17.9.71
Ashok Leyland,2020,43985,QC-2020-8064,SLDA navigation chip not responding,"P1603, P3094, P2610, P1D3B, P0605",VI NOK connector Pin bent,Customer Failure,STM,54935KM,7016.423.895,TR 15.7.82
Toyota,2019,43575,QC-2019-8309,Information not available on claim tag,"U0100, P060D",CJ930 ASIC failure,Customer Failure,STM,12843KM,3074.928.615,JR 19.6.84
Toyota,2019,43593,QC-2019-4863,"Idling engine, no response to LET","P2106, P1D3B, P2112, P0223",CJ930 ASIC failure,Production Failure,Hanon,12725KM,5938.761.204,PG 33.6.59
