Customer,Year,Date,QC_Number,Customer Complaint,DTC,Voltage,Failure Analysis,Warranty Decision,Supplier,Mileage_km
Honda,2024,2024-10-25,QC-2024-000076,Engine overheating,"P0304, P0620",17.56,Track burnt due to EOS,Customer Failure,Delphi,166681
Hyundai,2020,2020-09-11,QC-2020-000077,Starting Problem,P0610,14.96,ASIC CJ327 failure due to EOS,Customer Failure,STM,49679
Ashok Leyland,2024,2024-08-17,QC-2024-000078,Rough idling,"P0054, P0118",12.17,Sensor short due to moisture,Customer Failure,Valeo,194179
M&M,2019,2019-07-26,QC-2019-000079,ABS warning light ON,"U0121, U0131",10.13,controller failure due to supplier production failure,Production Failure,STM,31313
TATA,2023,2023-04-29,QC-2023-000080,Engine stalling,"P0563, P0305",19.07,Track burnt due to EOS,Customer Failure,Bosch,28095
Kia,2021,2021-01-04,QC-2021-000081,Battery warning light ON,"P0562, U0101, P0563",17.78,Track burnt due to EOS,Customer Failure,Valeo,157932
Hyundai,2024,2024-10-23,QC-2024-000082,Rough idling,"P0131, P0117",12.87,Sensor short due to moisture,Customer Failure,Bosch,67771
Honda,2025,2025-06-09,QC-2025-000083,Rough idling,,12.5,NTF,According to Specification,Valeo,155657
Toyota,2023,2023-05-06,QC-2023-000084,Engine overheating,"P0073, P0096",12.56,Sensor short due to moisture,Customer Failure,Bosch,45380
Hyundai,2019,2019-01-21,QC-2019-000085,Brake warning light ON,C0265,12.37,Connector damage,Production Failure,Valeo,124012
Ashok Leyland,2020,2020-11-15,QC-2020-000086,Vehicle not starting,"U0100, U0101",10.28,controller failure due to supplier production failure,Production Failure,Bosch,7153
M&M,2022,2022-02-03,QC-2022-000087,Multiple warning lights ON,"P0606, P0602",14.78,ASIC CJ327 failure due to EOS,Production Failure,Delphi,15497
Hyundai,2022,2022-09-23,QC-2022-000088,ABS warning light ON,"C0031, U0155",13.51,Connector damage,Production Failure,Bosch,33852
Ashok Leyland,2021,2021-06-10,QC-2021-000089,Engine stalling,P0073,12.92,Sensor short due to moisture,Customer Failure,Bosch,28621
Honda,2024,2024-02-05,QC-2024-000090,OBD Light ON,P0430,12.7,NTF,According to Specification,STM,30276
Toyota,2024,2024-12-02,QC-2024-000091,Engine jerking during acceleration,"P0306, P0304, P0303, P0354",15.73,Track burnt due to EOS,Customer Failure,STM,130470
Honda,2022,2022-10-08,QC-2022-000092,Low pickup,P0607,14.89,ASIC CJ327 failure due to EOS,Production Failure,STM,19475
Ashok Leyland,2020,2020-06-06,QC-2020-000093,Engine stalling,,12.34,NTF,According to Specification,Valeo,43986
Kia,2022,2022-03-06,QC-2022-000094,Low pickup,,12.61,NTF,According to Specification,Hanon,35003
Toyota,2024,2024-04-25,QC-2024-000095,Brake warning light ON,U0128,10.27,controller failure due to supplier production failure,Production Failure,Bosch,5283
Kia,2023,2023-07-24,QC-2023-000096,Multiple warning lights ON,U0401,9.71,controller failure due to supplier production failure,Production Failure,STM,9132
Kia,2020,2020-11-01,QC-2020-000097,Starting Problem,"C0031, C0082",13.46,Connector damage,Production Failure,Bosch,60710
Hyundai,2024,2024-04-27,QC-2024-000098,Multiple warning lights ON,"P0601, P0604",14.66,ASIC CJ327 failure due to EOS,Production Failure,Valeo,47386
Hyundai,2025,2025-12-31,QC-2025-000099,OBD Light ON,,12.94,NTF,According to Specification,Bosch,65848
Hyundai,2025,2025-07-14,QC-2025-000100,OBD Light ON,P0116,12.53,Sensor short due to moisture,Customer Failure,Valeo,80077
Hyundai,2024,2024-01-14,QC-2024-000101,Multiple warning lights ON,"P0606, P0420",15.18,ASIC CJ327 failure due to EOS,Customer Failure,Valeo,45453
Honda,2022,2022-08-14,QC-2022-000102,OBD Light ON,"C0265, C0045",12.91,Connector damage,Production Failure,Valeo,45178
Kia,2023,2023-06-16,QC-2023-000103,ABS warning light ON,"C0036, B1234",13.76,Connector damage,Production Failure,Delphi,22984
M&M,2025,2025-06-23,QC-2025-000104,Engine overheating,P0118,13.23,Sensor short due to moisture,Customer Failure,Bosch,93866
Kia,2022,2022-05-24,QC-2022-000105,Multiple warning lights ON,P0606,15.01,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,22547
Hyundai,2019,2019-10-01,QC-2019-000106,Vehicle not starting,"P0616, P0353, P0304, U0100, P0617",18.21,Track burnt due to EOS,Customer Failure,Bosch,83054
Kia,2025,2025-09-26,QC-2025-000107,Vehicle not starting,"P0482, P0353, P0616, P0617",17.47,Track burnt due to EOS,Customer Failure,Delphi,41389
Hyundai,2019,2019-01-23,QC-2019-000108,Starting Problem,P0420,13.7,NTF,According to Specification,Hanon,71304
M&M,2024,2024-05-03,QC-2024-000109,Vehicle not starting,U0002,11.19,controller failure due to supplier production failure,Production Failure,Valeo,5907
Honda,2024,2024-12-28,QC-2024-000110,ABS warning light ON,"C0045, B1234",13.35,Connector damage,Production Failure,Valeo,55753
Toyota,2021,2021-11-21,QC-2021-000111,ABS warning light ON,"C0036, P0573",12.95,Connector damage,Production Failure,Hanon,119646
Toyota,2024,2024-05-25,QC-2024-000112,Multiple warning lights ON,U0038,10.47,controller failure due to supplier production failure,Production Failure,STM,10048
M&M,2025,2025-11-18,QC-2025-000113,ABS warning light ON,C0051,13.67,Connector damage,Production Failure,STM,41370
Honda,2019,2019-09-13,QC-2019-000114,Starting Problem,"P0607, P0605",15.45,ASIC CJ327 failure due to EOS,Production Failure,STM,21024
Honda,2022,2022-09-07,QC-2022-000115,ABS warning light ON,"C0031, B3055",14.36,Connector damage,Production Failure,Hanon,138910
M&M,2025,2025-07-17,QC-2025-000116,OBD Light ON,P0113,13.32,Sensor short due to moisture,Customer Failure,Delphi,82625
Honda,2023,2023-09-30,QC-2023-000117,Rough idling,P0196,12.78,Sensor short due to moisture,Customer Failure,Hanon,106791
Toyota,2025,2025-08-28,QC-2025-000118,Low pickup,P0420,14.42,NTF,According to Specification,Delphi,26715
Toyota,2024,2024-09-18,QC-2024-000119,Rough idling,"P0353, P0562, P0563",18.08,Track burnt due to EOS,Customer Failure,Valeo,31757
Kia,2024,2024-11-20,QC-2024-000120,OBD Light ON,"B1234, C0265",13.23,Connector damage,Production Failure,Valeo,221143
Toyota,2021,2021-02-18,QC-2021-000121,Brake warning light ON,C0460,14.46,Connector damage,Customer Failure,STM,137977
TATA,2023,2023-03-27,QC-2023-000122,Engine overheating,"P0480, P1682",17.29,Track burnt due to EOS,Customer Failure,Bosch,75245
TATA,2021,2021-09-26,QC-2021-000123,Multiple warning lights ON,U0103,10.71,controller failure due to supplier production failure,Production Failure,Valeo,13399
Honda,2025,2025-10-11,QC-2025-000124,Rough idling,"P0054, P0340",13.41,Sensor short due to moisture,Customer Failure,Valeo,37468
TATA,2025,2025-09-27,QC-2025-000125,Battery warning light ON,C0051,13.42,Connector damage,Production Failure,Delphi,22263
Honda,2024,2024-05-10,QC-2024-000126,Engine overheating,"P0480, U0155, P0352, P0306",15.98,Track burnt due to EOS,Customer Failure,STM,58558
Honda,2023,2023-10-18,QC-2023-000127,Multiple warning lights ON,B1045,13.41,Connector damage,Production Failure,Valeo,143707
Honda,2022,2022-12-03,QC-2022-000128,Multiple warning lights ON,"P0302, P0560",17.75,Track burnt due to EOS,Customer Failure,Delphi,54842
M&M,2022,2022-02-14,QC-2022-000129,Rough idling,,12.36,NTF,According to Specification,Delphi,53680
Hyundai,2025,2025-05-06,QC-2025-000130,Vehicle not starting,"P0306, U0001, P0563, P0305, U0073",18.08,Track burnt due to EOS,Customer Failure,Valeo,124825
TATA,2022,2022-06-05,QC-2022-000131,Battery warning light ON,"P0300, P0617, U0100, U0101",20.02,Track burnt due to EOS,Customer Failure,Valeo,220000
Ashok Leyland,2022,2022-01-18,QC-2022-000132,Brake warning light ON,B3055,12.64,Connector damage,Customer Failure,Hanon,81752
Hyundai,2021,2021-07-02,QC-2021-000133,Vehicle not starting,"P1682, P0353",16.4,Track burnt due to EOS,Production Failure,Bosch,92111
Kia,2022,2022-09-20,QC-2022-000134,Multiple warning lights ON,"P0692, U0101, P0620, P0563, P0693, U0100",17.01,Track burnt due to EOS,Customer Failure,Bosch,61794
Honda,2023,2023-08-13,QC-2023-000135,ABS warning light ON,"C0051, C0045",12.76,Connector damage,Production Failure,Delphi,41091
Kia,2022,2022-07-30,QC-2022-000136,OBD Light ON,,13.39,NTF,According to Specification,Valeo,30052
Kia,2025,2025-06-07,QC-2025-000137,Rough idling,P0038,13.15,Sensor short due to moisture,Customer Failure,Hanon,19914
Toyota,2021,2021-09-21,QC-2021-000138,Multiple warning lights ON,U0184,10.59,controller failure due to supplier production failure,Production Failure,Delphi,13044
Honda,2023,2023-05-16,QC-2023-000139,Vehicle not starting,U0402,9.83,controller failure due to supplier production failure,Production Failure,Bosch,28517
TATA,2023,2023-03-31,QC-2023-000140,Low pickup,,13.02,NTF,According to Specification,Valeo,49839
Hyundai,2022,2022-08-28,QC-2022-000141,Engine stalling,,13.03,NTF,According to Specification,Delphi,49500
TATA,2024,2024-05-04,QC-2024-000142,Engine overheating,,12.5,NTF,According to Specification,Bosch,55545
Toyota,2025,2025-04-08,QC-2025-000143,Battery warning light ON,"P0304, P0481, P0480",19.43,Track burnt due to EOS,Production Failure,Hanon,98676
Ashok Leyland,2025,2025-10-14,QC-2025-000144,Engine stalling,,13.11,NTF,According to Specification,Bosch,40531
TATA,2022,2022-05-01,QC-2022-000145,Engine jerking during acceleration,"P0301, P0353, P0692, P0620",16.9,Track burnt due to EOS,Production Failure,Delphi,56096
Kia,2023,2023-10-09,QC-2023-000146,Multiple warning lights ON,U0164,11.72,controller failure due to supplier production failure,Production Failure,Delphi,20328
TATA,2022,2022-03-13,QC-2022-000147,OBD Light ON,,13.12,NTF,According to Specification,Bosch,10543
M&M,2021,2021-04-13,QC-2021-000148,Multiple warning lights ON,P0610,15.33,ASIC CJ327 failure due to EOS,Production Failure,Delphi,63594
M&M,2023,2023-06-07,QC-2023-000149,Engine overheating,P0069,12.3,Sensor short due to moisture,Customer Failure,Bosch,50255
Hyundai,2023,2023-04-11,QC-2023-000150,Rough idling,P0300,13.53,NTF,According to Specification,Valeo,38449
Ashok Leyland,2019,2019-06-03,QC-2019-000151,Multiple warning lights ON,"B3055, B1045",13.66,Connector damage,Production Failure,Bosch,4996
Kia,2025,2025-05-15,QC-2025-000152,Starting Problem,U0122,10.25,controller failure due to supplier production failure,Production Failure,Bosch,6324
M&M,2021,2021-11-29,QC-2021-000153,Multiple warning lights ON,"P0354, P0562, P0563, P0616, P0617",17.56,Track burnt due to EOS,Customer Failure,Delphi,43249
Hyundai,2025,2025-11-14,QC-2025-000154,Starting Problem,,13.63,NTF,According to Specification,Bosch,13254
Hyundai,2021,2021-04-05,QC-2021-000155,Transmission jerking,"U0101, U0100",10.39,controller failure due to supplier production failure,Production Failure,Hanon,3449
TATA,2021,2021-10-18,QC-2021-000156,Brake warning light ON,B1031,12.83,Connector damage,Customer Failure,Valeo,38728
Honda,2021,2021-07-16,QC-2021-000157,Low pickup,,12.81,NTF,According to Specification,Hanon,57808
Hyundai,2025,2025-06-06,QC-2025-000158,ABS warning light ON,"C0036, B1031",12.18,Connector damage,Production Failure,Hanon,32899
M&M,2025,2025-04-10,QC-2025-000159,Battery warning light ON,"P0560, P0306",18.09,Track burnt due to EOS,Customer Failure,Bosch,79065
Honda,2025,2025-12-21,QC-2025-000160,OBD Light ON,,13.23,NTF,According to Specification,Delphi,8745
Honda,2022,2022-11-01,QC-2022-000161,Rough idling,"P0300, U0155",18.67,Track burnt due to EOS,Customer Failure,STM,46575
Kia,2024,2024-05-12,QC-2024-000162,Rough idling,P0069,13.74,Sensor short due to moisture,Customer Failure,Hanon,139705
M&M,2023,2023-10-09,QC-2023-000163,Brake warning light ON,C0036,13.74,Connector damage,Customer Failure,Hanon,75143
Kia,2022,2022-11-29,QC-2022-000164,Low pickup,,13.67,NTF,According to Specification,Hanon,32604
Kia,2023,2023-03-08,QC-2023-000165,Low pickup,,12.84,NTF,According to Specification,Bosch,29858
TATA,2025,2025-02-21,QC-2025-000166,Starting Problem,U0128,9.87,controller failure due to supplier production failure,Production Failure,Delphi,4739
M&M,2022,2022-05-30,QC-2022-000167,OBD Light ON,,12.93,NTF,According to Specification,Bosch,33711
Ashok Leyland,2023,2023-05-11,QC-2023-000168,Engine stalling,,12.43,NTF,According to Specification,Valeo,121666
Hyundai,2020,2020-07-30,QC-2020-000169,Multiple warning lights ON,"P0352, P0616, P0302",17.66,Track burnt due to EOS,Customer Failure,Valeo,177472
Honda,2024,2024-03-01,QC-2024-000170,Engine overheating,"P0482, P0352, P0303, P0351",18.84,Track burnt due to EOS,Customer Failure,Bosch,17225
Honda,2024,2024-11-29,QC-2024-000171,OBD Light ON,,13.19,NTF,According to Specification,STM,15537
Toyota,2023,2023-10-19,QC-2023-000172,OBD Light ON,,13.3,NTF,According to Specification,Bosch,96965
Hyundai,2025,2025-07-26,QC-2025-000173,Brake warning light ON,C0036,13.27,Connector damage,Production Failure,Valeo,1405
Ashok Leyland,2024,2024-05-23,QC-2024-000174,Multiple warning lights ON,C0045,14.05,Connector damage,Production Failure,STM,30952
Hyundai,2025,2025-04-25,QC-2025-000175,OBD Light ON,,13.63,NTF,According to Specification,Valeo,44502
Hyundai,2025,2025-01-26,QC-2025-000176,Multiple warning lights ON,U0028,10.06,controller failure due to supplier production failure,Production Failure,Bosch,21197
TATA,2022,2022-08-14,QC-2022-000177,Engine overheating,P0131,12.37,Sensor short due to moisture,Customer Failure,Delphi,55264
TATA,2024,2024-07-17,QC-2024-000178,Engine overheating,"P0101, P0141, U0100",13.55,Sensor short due to moisture,Customer Failure,Bosch,98794
Kia,2023,2023-07-28,QC-2023-000179,Battery warning light ON,P0602,15.54,ASIC CJ327 failure due to EOS,Production Failure,Valeo,25711
Honda,2021,2021-12-17,QC-2021-000180,High fuel consumption,P0455,14.06,NTF,According to Specification,Bosch,15828
Toyota,2025,2025-07-15,QC-2025-000181,Battery warning light ON,P0608,15.29,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,25195
Hyundai,2023,2023-07-19,QC-2023-000182,Multiple warning lights ON,"U0100, P0560, P0616, U0101",18.98,Track burnt due to EOS,Customer Failure,Delphi,74660
Kia,2024,2024-09-27,QC-2024-000183,OBD Light ON,,13.42,NTF,According to Specification,Valeo,14600
Kia,2025,2025-04-09,QC-2025-000184,Low pickup,P0605,15.56,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,43711
M&M,2022,2022-04-27,QC-2022-000185,Multiple warning lights ON,"P0301, U0101, P0616, U0100",17.66,Track burnt due to EOS,Customer Failure,STM,68192
Honda,2022,2022-03-25,QC-2022-000186,High fuel consumption,P0608,15.06,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,36400
Honda,2025,2025-08-15,QC-2025-000187,Brake warning light ON,"C0265, C0460",13.66,Connector damage,Production Failure,Bosch,1533
Ashok Leyland,2023,2023-09-14,QC-2023-000188,Engine overheating,,12.88,NTF,According to Specification,Delphi,112182
M&M,2020,2020-05-27,QC-2020-000189,Engine overheating,P0054,12.6,Sensor short due to moisture,Customer Failure,Bosch,116089
Ashok Leyland,2022,2022-11-09,QC-2022-000190,Starting Problem,P0113,12.07,Sensor short due to moisture,Customer Failure,Delphi,71131
Hyundai,2025,2025-06-19,QC-2025-000191,Multiple warning lights ON,"P0605, P0607",15.41,ASIC CJ327 failure due to EOS,Production Failure,STM,50334
Hyundai,2023,2023-10-27,QC-2023-000192,OBD Light ON,,13.11,NTF,According to Specification,Delphi,35761
Kia,2024,2024-08-08,QC-2024-000193,Multiple warning lights ON,"P0606, P0602",15.4,ASIC CJ327 failure due to EOS,Customer Failure,Hanon,43985
Hyundai,2022,2022-08-14,QC-2022-000194,Engine overheating,,13.08,NTF,According to Specification,Valeo,68475
Ashok Leyland,2020,2020-08-26,QC-2020-000195,Starting Problem,P0098,13.52,Sensor short due to moisture,Customer Failure,Valeo,57569
Hyundai,2023,2023-09-05,QC-2023-000196,Multiple warning lights ON,P0601,15.66,ASIC CJ327 failure due to EOS,Customer Failure,Valeo,77896
M&M,2020,2020-12-17,QC-2020-000197,Multiple warning lights ON,U0100,10.3,controller failure due to supplier production failure,Production Failure,Bosch,8197
Honda,2021,2021-10-16,QC-2021-000198,Transmission jerking,P0613,15.57,ASIC CJ327 failure due to EOS,Customer Failure,STM,47937
Hyundai,2025,2025-03-28,QC-2025-000199,Engine stalling,"P0304, P0562, P0302, P0563",18.37,Track burnt due to EOS,Customer Failure,Bosch,57549
Honda,2022,2022-03-10,QC-2022-000200,Battery warning light ON,"P0620, U0100",17.23,Track burnt due to EOS,Customer Failure,Bosch,92138
Honda,2023,2023-02-11,QC-2023-000201,High fuel consumption,,12.99,NTF,According to Specification,Delphi,34113
Honda,2023,2023-02-05,QC-2023-000202,High fuel consumption,,12.73,NTF,According to Specification,Delphi,37052
TATA,2024,2024-09-29,QC-2024-000203,Vehicle not starting,"P0355, P1682, P0352",15.9,Track burnt due to EOS,Customer Failure,Delphi,147513
Hyundai,2025,2025-05-06,QC-2025-000204,Vehicle not starting,"P0615, P0481, P0352",17.99,Track burnt due to EOS,Customer Failure,Delphi,15770
Kia,2022,2022-03-17,QC-2022-000205,Rough idling,,13.62,NTF,Customer Failure,Bosch,49917
M&M,2019,2019-09-05,QC-2019-000206,Multiple warning lights ON,"U0140, U0121",9.8,controller failure due to supplier production failure,Production Failure,Delphi,11038
Honda,2023,2023-01-08,QC-2023-000207,Low pickup,P0300,13.3,NTF,According to Specification,Hanon,80802
TATA,2021,2021-01-23,QC-2021-000208,ABS warning light ON,C0045,12.68,Connector damage,Production Failure,Valeo,109908
Honda,2022,2022-05-24,QC-2022-000209,Engine jerking during acceleration,"P0355, P0616, P0617",17.21,Track burnt due to EOS,Customer Failure,Delphi,77063
M&M,2024,2024-11-05,QC-2024-000210,Engine stalling,P0038,13.31,Sensor short due to moisture,Customer Failure,Bosch,50727
