Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
M&M,2022,2022-06-13,QC-2022-4177,OBD Light ON,"C0045, P6344, U0100",controller failure due to supplier production failure,Production Failure,NA
Hyundai,2021,2021-01-26,QC-2021-5838,Low pickup,NA,Sensor short due to moisture,According to Specification,Valeo
Hyundai,2023,2023-05-03,QC-2023-1013,Engine jerking during acceleration,"P0987, P0455, P6768",controller failure due to supplier production failure,Production Failure,Bosch
Honda,2022,2022-06-14,QC-2022-9888,Rough idling,NA,controller failure due to supplier production failure,Customer Failure,Valeo
M&M,2022,2022-09-26,QC-2022-9476,Brake warning light ON,"U0100, P1245",Track burnt due to EOS,Customer Failure,Bosch
Honda,2022,2022-03-19,QC-2022-6970,Starting Problem,"P1245, P0987",NTF,Customer Failure,NA
Kia,2019,2019-11-26,QC-2019-1988,Rough idling,"P6344, P0301",ASIC CJ327 failure due to EOS,Customer Failure,NA
Kia,2021,2021-09-20,QC-2021-5602,Brake warning light ON,NA,Sensor short due to moisture,Customer Failure,Delphi
Hyundai,2023,2023-10-13,QC-2023-3169,Engine jerking during acceleration,,controller failure due to supplier production failure,According to Specification,STM
TATA,2023,2023-01-02,QC-2023-1037,Engine overheating,NA,Track burnt due to EOS,According to Specification,Valeo
Honda,2023,2023-04-10,QC-2023-5827,Vehicle not starting,C0045,ASIC CJ327 failure due to EOS,Production Failure,Delphi
M&M,2021,2021-07-22,QC-2021-8508,Brake warning light ON,,Connector damage,Customer Failure,STM
Toyota,2024,2024-08-28,QC-2024-2808,Low pickup,"P0987, U0100",Connector damage,Customer Failure,Bosch
M&M,2022,2022-12-14,QC-2022-9486,OBD Light ON,"P5657, U0100",Track burnt due to EOS,Production Failure,Bosch
Kia,2023,2023-02-21,QC-2023-7608,Rough idling,"P1245, P6344",NTF,Customer Failure,STM
Kia,2020,2020-11-10,QC-2020-4087,Low pickup,"P6768, P0987, B1234",Connector damage,Production Failure,Hanon
M&M,2019,2019-06-06,QC-2019-6321,OBD Light ON,,Sensor short due to moisture,Production Failure,Hanon
Honda,2023,2023-10-31,QC-2023-1804,High fuel consumption,"P0455, U0100",Sensor short due to moisture,Production Failure,STM
M&M,2024,2024-12-19,QC-2024-9899,High fuel consumption,"P5657, P0455, P6768",Connector damage,According to Specification,Hanon
Hyundai,2022,2022-05-17,QC-2022-9238,Engine jerking during acceleration,NA,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Ashok Leyland,2024,2024-10-05,QC-2024-3505,Engine overheating,"P0987, P1245, P0301",Sensor short due to moisture,According to Specification,Delphi
TATA,2024,2024-05-15,QC-2024-4527,Brake warning light ON,,Sensor short due to moisture,Production Failure,Hanon
Hyundai,2024,2024-03-06,QC-2024-2461,High fuel consumption,NA,ASIC CJ327 failure due to EOS,Customer Failure,NA
Toyota,2020,2020-03-07,QC-2020-4494,Engine jerking during acceleration,"P0987, P6768",Connector damage,According to Specification,NA
Honda,2020,2020-11-10,QC-2020-7391,Starting Problem,"P0455, P5657, C0045",Track burnt due to EOS,Production Failure,STM
TATA,2022,2022-10-06,QC-2022-3405,Low pickup,"P1245, P0301",Connector damage,Production Failure,NA
Toyota,2024,2024-06-22,QC-2024-7634,Engine jerking during acceleration,U0100,controller failure due to supplier production failure,Production Failure,Valeo
Honda,2024,2024-03-13,QC-2024-4278,Rough idling,"U0100, C0045, P5657",Track burnt due to EOS,Production Failure,Hanon
Ashok Leyland,2024,2024-10-21,QC-2024-3323,Brake warning light ON,P5657,NTF,Customer Failure,NA
M&M,2023,2023-01-29,QC-2023-1096,Starting Problem,,controller failure due to supplier production failure,According to Specification,Delphi
Kia,2022,2022-09-30,QC-2022-2102,Engine overheating,P1245,Sensor short due to moisture,According to Specification,Hanon
Ashok Leyland,2023,2023-07-31,QC-2023-2076,OBD Light ON,"C0045, B1234",Connector damage,Production Failure,Hanon
Ashok Leyland,2019,2019-05-17,QC-2019-1520,OBD Light ON,P0301,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Toyota,2022,2022-12-02,QC-2022-4962,Engine jerking during acceleration,P0301,Connector damage,Production Failure,STM
M&M,2021,2021-02-08,QC-2021-6872,Brake warning light ON,NA,Track burnt due to EOS,Production Failure,STM
Kia,2021,2021-02-25,QC-2021-6689,Starting Problem,"P0987, P0301, P0455",Track burnt due to EOS,Customer Failure,Valeo
Honda,2022,2022-02-19,QC-2022-3541,Low pickup,,controller failure due to supplier production failure,Customer Failure,STM
Ashok Leyland,2024,2024-01-22,QC-2024-8195,OBD Light ON,"C0045, P1245",NTF,According to Specification,Delphi
Kia,2019,2019-08-02,QC-2019-8272,High fuel consumption,"U0100, P0987, P5657",NTF,According to Specification,Hanon
Kia,2021,2021-12-07,QC-2021-6912,Low pickup,NA,Track burnt due to EOS,According to Specification,Hanon
Toyota,2022,2022-08-25,QC-2022-2153,Low pickup,"P0455, U0100, P1245",Sensor short due to moisture,Production Failure,Hanon
Honda,2023,2023-11-22,QC-2023-2460,Engine jerking during acceleration,,Track burnt due to EOS,Production Failure,Delphi
M&M,2022,2022-06-07,QC-2022-9209,OBD Light ON,"P0987, P0455, P6344",ASIC CJ327 failure due to EOS,According to Specification,Valeo
Ashok Leyland,2021,2021-08-30,QC-2021-4797,High fuel consumption,"B1234, U0100",Sensor short due to moisture,According to Specification,NA
Ashok Leyland,2022,2022-07-30,QC-2022-9842,Engine overheating,NA,Connector damage,According to Specification,Bosch
M&M,2024,2024-06-07,QC-2024-2653,Engine jerking during acceleration,"P1245, P6768",Track burnt due to EOS,Production Failure,Delphi
Honda,2023,2023-08-10,QC-2023-3408,Vehicle not starting,NA,NTF,Production Failure,NA
Honda,2024,2024-06-25,QC-2024-9889,Starting Problem,P0301,Sensor short due to moisture,According to Specification,STM
M&M,2019,2019-04-04,QC-2019-3796,Vehicle not starting,"B1234, P1245, P6768",Track burnt due to EOS,Customer Failure,Bosch
Toyota,2019,2019-03-31,QC-2019-4632,Low pickup,NA,Sensor short due to moisture,According to Specification,Delphi
M&M,2023,2023-07-25,QC-2023-9881,Brake warning light ON,P5657,Track burnt due to EOS,Customer Failure,NA
Ashok Leyland,2022,2022-06-16,QC-2022-8269,Engine overheating,B1234,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
TATA,2019,2019-02-05,QC-2019-1623,Low pickup,"P0987, P0301",Connector damage,According to Specification,Delphi
TATA,2023,2023-12-07,QC-2023-5960,Engine jerking during acceleration,NA,controller failure due to supplier production failure,According to Specification,Valeo
M&M,2020,2020-11-20,QC-2020-1613,Low pickup,P6344,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Honda,2020,2020-02-05,QC-2020-8350,Low pickup,NA,Sensor short due to moisture,According to Specification,Hanon
Honda,2024,2024-05-31,QC-2024-2555,Brake warning light ON,"P6344, U0100",Sensor short due to moisture,Production Failure,Delphi
Ashok Leyland,2020,2020-06-03,QC-2020-8064,High fuel consumption,,controller failure due to supplier production failure,Customer Failure,STM
Toyota,2019,2019-04-20,QC-2019-8309,Vehicle not starting,"B1234, U0100, P5657",controller failure due to supplier production failure,Customer Failure,STM
Toyota,2019,2019-05-08,QC-2019-4863,Low pickup,"P5657, P6344, C0045",controller failure due to supplier production failure,Production Failure,Hanon
M&M,2020,2020-11-13,QC-2020-2000,Brake warning light ON,NA,controller failure due to supplier production failure,According to Specification,Bosch
Honda,2022,2022-12-09,QC-2022-1335,Starting Problem,NA,Sensor short due to moisture,Customer Failure,STM
Hyundai,2024,2024-02-18,QC-2024-1381,Engine overheating,NA,Connector damage,Production Failure,Hanon
TATA,2021,2021-12-29,QC-2021-2803,OBD Light ON,,Connector damage,Production Failure,Valeo
Kia,2024,2024-10-22,QC-2024-2793,Engine overheating,"P5657, C0045",controller failure due to supplier production failure,According to Specification,STM
M&M,2022,2022-08-01,QC-2022-4532,Low pickup,,Sensor short due to moisture,According to Specification,Delphi
Toyota,2023,2023-11-20,QC-2023-3928,Engine overheating,"P1245, U0100, B1234",Track burnt due to EOS,Production Failure,NA
Hyundai,2024,2024-10-09,QC-2024-6297,High fuel consumption,NA,Connector damage,Customer Failure,Valeo
Toyota,2019,2019-09-08,QC-2019-8809,High fuel consumption,"P0455, P5657",Sensor short due to moisture,Customer Failure,Hanon
Ashok Leyland,2021,2021-04-19,QC-2021-1151,Vehicle not starting,NA,Connector damage,Production Failure,Hanon
Hyundai,2021,2021-12-19,QC-2021-7684,Rough idling,"P0987, P0455",Sensor short due to moisture,According to Specification,Delphi
TATA,2022,2022-12-24,QC-2022-4314,Vehicle not starting,NA,NTF,Production Failure,Bosch
Honda,2021,2021-05-12,QC-2021-2336,OBD Light ON,"C0045, P6768, P0301",Track burnt due to EOS,Customer Failure,Valeo
M&M,2024,2024-07-28,QC-2024-3800,Brake warning light ON,P0987,ASIC CJ327 failure due to EOS,Customer Failure,STM
M&M,2021,2021-10-11,QC-2021-8970,Low pickup,"U0100, P0301, P0987",NTF,According to Specification,STM
Toyota,2020,2020-12-10,QC-2020-5514,High fuel consumption,"P5657, P6344",NTF,Customer Failure,Hanon
Ashok Leyland,2024,2024-03-27,QC-2024-5779,Vehicle not starting,P6768,Sensor short due to moisture,Production Failure,NA
Honda,2023,2023-08-30,QC-2023-7254,High fuel consumption,,controller failure due to supplier production failure,According to Specification,STM
M&M,2019,2019-08-06,QC-2019-8141,Engine overheating,P5657,Connector damage,Production Failure,Delphi
Ashok Leyland,2023,2023-07-12,QC-2023-8084,Low pickup,,Sensor short due to moisture,Production Failure,STM
Hyundai,2021,2021-03-23,QC-2021-4650,High fuel consumption,P0455,Sensor short due to moisture,Production Failure,NA
Kia,2021,2021-12-30,QC-2021-9127,Engine jerking during acceleration,NA,controller failure due to supplier production failure,According to Specification,Delphi
Hyundai,2024,2024-08-14,QC-2024-2571,Rough idling,"P1245, C0045",Track burnt due to EOS,According to Specification,NA
Toyota,2023,2023-04-05,QC-2023-1896,Low pickup,NA,Track burnt due to EOS,Customer Failure,STM
TATA,2024,2024-10-28,QC-2024-9651,High fuel consumption,"C0045, P1245",Sensor short due to moisture,Customer Failure,Hanon
Honda,2019,2019-04-25,QC-2019-4638,Vehicle not starting,P1245,Track burnt due to EOS,Customer Failure,Delphi
TATA,2022,2022-07-01,QC-2022-9293,Low pickup,,Track burnt due to EOS,Production Failure,Bosch
Ashok Leyland,2023,2023-10-07,QC-2023-8205,High fuel consumption,"P0987, C0045, P5657",Sensor short due to moisture,Production Failure,NA
M&M,2023,2023-08-01,QC-2023-4807,Engine jerking during acceleration,"P0301, C0045, P0455",NTF,According to Specification,Delphi
Kia,2020,2020-10-01,QC-2020-6750,Rough idling,"P6768, C0045, U0100",Track burnt due to EOS,Customer Failure,Hanon
Toyota,2020,2020-04-23,QC-2020-3614,Engine jerking during acceleration,,Sensor short due to moisture,Production Failure,NA
M&M,2021,2021-04-14,QC-2021-6315,Rough idling,P6344,Connector damage,According to Specification,STM
Hyundai,2023,2023-03-12,QC-2023-4104,OBD Light ON,NA,NTF,Customer Failure,Bosch
M&M,2024,2024-06-22,QC-2024-7409,OBD Light ON,"P0301, P0455",Sensor short due to moisture,According to Specification,NA
Toyota,2019,2019-01-29,QC-2019-2406,OBD Light ON,NA,NTF,Customer Failure,Valeo
Kia,2019,2019-06-14,QC-2019-1359,Engine jerking during acceleration,,ASIC CJ327 failure due to EOS,Production Failure,STM
Ashok Leyland,2022,2022-01-30,QC-2022-4643,Low pickup,P0987,ASIC CJ327 failure due to EOS,According to Specification,Valeo
Kia,2020,2020-04-22,QC-2020-6941,Rough idling,"P6768, P1245, P0987",Connector damage,Production Failure,Hanon
TATA,2022,2022-06-08,QC-2022-8890,Low pickup,P0987,Connector damage,According to Specification,Valeo
M&M,2021,2021-12-04,QC-2021-9426,Engine jerking during acceleration,NA,Track burnt due to EOS,Customer Failure,Hanon
Hyundai,2024,2024-01-10,QC-2024-6127,Engine jerking during acceleration,NA,Connector damage,According to Specification,Valeo
M&M,2019,2019-11-10,QC-2019-7945,Starting Problem,P5657,NTF,Customer Failure,Delphi
M&M,2022,2022-02-20,QC-2022-7900,Vehicle not starting,"P0987, P1245",controller failure due to supplier production failure,Customer Failure,NA
Toyota,2022,2022-07-26,QC-2022-9281,Vehicle not starting,P0301,NTF,Production Failure,Valeo
Toyota,2019,2019-12-04,QC-2019-1135,Low pickup,"P6768, P6344",NTF,According to Specification,Bosch
Kia,2023,2023-02-25,QC-2023-9303,Low pickup,NA,Track burnt due to EOS,Customer Failure,Bosch
TATA,2024,2024-10-12,QC-2024-9368,Starting Problem,C0045,Connector damage,Production Failure,Valeo
Toyota,2020,2020-03-29,QC-2020-2278,Engine overheating,NA,Sensor short due to moisture,According to Specification,Valeo
M&M,2021,2021-07-19,QC-2021-7991,Brake warning light ON,"P6768, U0100, B1234",controller failure due to supplier production failure,Customer Failure,Valeo
Hyundai,2022,2022-11-22,QC-2022-8951,OBD Light ON,"P0301, P5657",NTF,Production Failure,STM
M&M,2022,2022-09-06,QC-2022-5085,Rough idling,NA,ASIC CJ327 failure due to EOS,Production Failure,Hanon
TATA,2020,2020-11-05,QC-2020-6710,OBD Light ON,NA,controller failure due to supplier production failure,Customer Failure,Bosch
TATA,2022,2022-12-31,QC-2022-9801,Engine jerking during acceleration,,Sensor short due to moisture,Customer Failure,Bosch
M&M,2021,2021-04-29,QC-2021-7231,Rough idling,NA,Sensor short due to moisture,Production Failure,STM
Hyundai,2023,2023-08-19,QC-2023-7443,Vehicle not starting,NA,ASIC CJ327 failure due to EOS,Customer Failure,STM
TATA,2021,2021-03-14,QC-2021-1982,Starting Problem,"C0045, P0455",NTF,Production Failure,Valeo
Toyota,2021,2021-10-05,QC-2021-3888,Brake warning light ON,P0455,Sensor short due to moisture,Production Failure,Hanon
Hyundai,2020,2020-11-25,QC-2020-9916,Rough idling,P0301,controller failure due to supplier production failure,Customer Failure,Hanon
Honda,2020,2020-06-27,QC-2020-8085,High fuel consumption,"P5657, C0045, P0987",controller failure due to supplier production failure,Production Failure,NA
Hyundai,2020,2020-09-08,QC-2020-5636,Low pickup,"P0987, U0100, C0045",Track burnt due to EOS,According to Specification,Hanon
Ashok Leyland,2022,2022-08-29,QC-2022-2986,Rough idling,"P0301, P1245",ASIC CJ327 failure due to EOS,Production Failure,Hanon
Honda,2023,2023-09-14,QC-2023-7601,High fuel consumption,,Connector damage,Customer Failure,Valeo
Hyundai,2023,2023-03-20,QC-2023-7266,Vehicle not starting,,NTF,According to Specification,STM
Honda,2023,2023-02-01,QC-2023-5056,Engine jerking during acceleration,,Sensor short due to moisture,According to Specification,Hanon
TATA,2023,2023-11-13,QC-2023-3439,Vehicle not starting,"C0045, B1234, P0455",Track burnt due to EOS,Customer Failure,Bosch
Kia,2021,2021-01-04,QC-2021-7416,Brake warning light ON,P6768,Connector damage,According to Specification,Hanon
Kia,2024,2024-01-09,QC-2024-8926,Engine overheating,,ASIC CJ327 failure due to EOS,According to Specification,NA
M&M,2023,2023-06-24,QC-2023-3897,Low pickup,"P0987, P6344",Track burnt due to EOS,Customer Failure,Valeo
Hyundai,2022,2022-08-29,QC-2022-3695,Starting Problem,P5657,Connector damage,According to Specification,Valeo
TATA,2020,2020-01-09,QC-2020-2156,Starting Problem,"P5657, P1245",NTF,According to Specification,Hanon
Ashok Leyland,2019,2019-06-17,QC-2019-4099,OBD Light ON,"P6768, C0045, P0987",controller failure due to supplier production failure,Customer Failure,Delphi
TATA,2024,2024-08-16,QC-2024-3322,Engine jerking during acceleration,"P0987, U0100",ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Hyundai,2020,2020-04-10,QC-2020-5420,Low pickup,,NTF,Production Failure,Hanon
TATA,2021,2021-03-25,QC-2021-1892,OBD Light ON,,controller failure due to supplier production failure,Production Failure,STM
TATA,2024,2024-05-07,QC-2024-1778,Engine jerking during acceleration,NA,Sensor short due to moisture,According to Specification,Delphi
Ashok Leyland,2020,2020-05-19,QC-2020-3455,Rough idling,P1245,Track burnt due to EOS,Production Failure,STM
Honda,2021,2021-10-22,QC-2021-7613,OBD Light ON,,controller failure due to supplier production failure,Production Failure,Bosch
Toyota,2019,2019-08-22,QC-2019-3695,OBD Light ON,"P1245, P0987, B1234",Sensor short due to moisture,Production Failure,NA
M&M,2019,2019-10-13,QC-2019-5151,OBD Light ON,,Track burnt due to EOS,Customer Failure,Delphi
Kia,2024,2024-01-25,QC-2024-6166,Low pickup,,controller failure due to supplier production failure,According to Specification,Hanon
TATA,2020,2020-01-15,QC-2020-4026,Engine jerking during acceleration,"P0301, C0045",Connector damage,According to Specification,NA
Kia,2021,2021-10-29,QC-2021-7891,Engine overheating,NA,controller failure due to supplier production failure,Customer Failure,Delphi
M&M,2023,2023-03-19,QC-2023-5059,High fuel consumption,"C0045, U0100",Track burnt due to EOS,According to Specification,STM
TATA,2021,2021-11-16,QC-2021-7242,Brake warning light ON,NA,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
M&M,2020,2020-02-11,QC-2020-7632,Engine jerking during acceleration,"B1234, P6768, P6344",ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Kia,2020,2020-07-24,QC-2020-2174,Rough idling,"P0987, P6768, P5657",Track burnt due to EOS,Customer Failure,Valeo
Toyota,2023,2023-11-04,QC-2023-9212,Engine overheating,,Connector damage,According to Specification,NA
