Customer,Year,Date,QC_Number,Customer Complaint,DTC,Voltage,Failure Analysis,Warranty Decision,Supplier,Mileage_km
Kia,2021,2021-04-25,QC-2021-000017,Multiple warning lights ON,"P0301, U0155",18.31,Track burnt due to EOS,Customer Failure,Valeo,19481
M&M,2024,2024-07-18,QC-2024-000018,Engine overheating,P0072,13.5,Sensor short due to moisture,Customer Failure,Valeo,24234
Kia,2019,2019-09-03,QC-2019-000019,High fuel consumption,,13.44,NTF,According to Specification,Delphi,78426
TATA,2023,2023-12-06,QC-2023-000020,Engine stalling,,13.8,NTF,According to Specification,STM,37389
Ashok Leyland,2024,2024-04-04,QC-2024-000021,Starting Problem,,13.09,NTF,According to Specification,Hanon,100571
Toyota,2019,2019-05-22,QC-2019-000022,Battery warning light ON,"P0562, P0563",20.0,Track burnt due to EOS,Customer Failure,Delphi,63138
Hyundai,2021,2021-08-29,QC-2021-000023,OBD Light ON,,12.89,NTF,According to Specification,STM,80918
M&M,2024,2024-02-21,QC-2024-000024,Vehicle not starting,"P0615, P0481",18.83,Track burnt due to EOS,Customer Failure,Bosch,87422
Ashok Leyland,2021,2021-11-28,QC-2021-000025,Engine overheating,,12.85,NTF,According to Specification,Delphi,49409
Toyota,2023,2023-09-03,QC-2023-000026,Multiple warning lights ON,P0601,15.98,ASIC CJ327 failure due to EOS,Customer Failure,STM,49719
Honda,2024,2024-12-01,QC-2024-000027,Multiple warning lights ON,C0045,13.4,Connector damage,Production Failure,Hanon,63759
M&M,2022,2022-02-14,QC-2022-000028,Multiple warning lights ON,P0602,15.73,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,44491
Hyundai,2023,2023-01-06,QC-2023-000029,ABS warning light ON,C0051,12.5,Connector damage,Production Failure,Bosch,41246
Kia,2023,2023-07-16,QC-2023-000030,Engine stalling,P0038,13.15,Sensor short due to moisture,Customer Failure,Hanon,98466
Honda,2024,2024-08-30,QC-2024-000031,Rough idling,P0197,12.68,Sensor short due to moisture,Customer Failure,Hanon,2000
Hyundai,2022,2022-05-03,QC-2022-000032,Engine jerking during acceleration,"P0302, P0481",18.92,Track burnt due to EOS,Customer Failure,Valeo,23650
Honda,2020,2020-08-14,QC-2020-000033,Low pickup,,13.33,NTF,According to Specification,Bosch,52812
TATA,2021,2021-08-04,QC-2021-000034,Low pickup,,12.51,NTF,According to Specification,STM,40907
Hyundai,2021,2021-12-11,QC-2021-000035,Brake warning light ON,C0051,12.92,Connector damage,Customer Failure,Delphi,121619
Honda,2019,2019-04-09,QC-2019-000036,Vehicle not starting,"P1682, P0562, P0302, P0620",16.1,Track burnt due to EOS,Customer Failure,Hanon,20735
Kia,2020,2020-05-12,QC-2020-000037,Multiple warning lights ON,U0140,10.88,controller failure due to supplier production failure,Production Failure,Bosch,23309
TATA,2021,2021-01-08,QC-2021-000038,OBD Light ON,C0460,13.86,Connector damage,Production Failure,Bosch,67817
Ashok Leyland,2023,2023-06-09,QC-2023-000039,Multiple warning lights ON,U0122,9.58,controller failure due to supplier production failure,Production Failure,STM,27916
Ashok Leyland,2023,2023-02-19,QC-2023-000040,Rough idling,,13.53,NTF,According to Specification,Valeo,36256
TATA,2020,2020-06-01,QC-2020-000041,Starting Problem,"B2960, C0051",12.5,Connector damage,Customer Failure,Hanon,138827
Honda,2024,2024-08-12,QC-2024-000042,Transmission jerking,"U0101, P0481, P1682",17.58,Track burnt due to EOS,Customer Failure,Hanon,28413
M&M,2022,2022-07-28,QC-2022-000043,Rough idling,P0456,13.38,NTF,According to Specification,Delphi,47371
Hyundai,2023,2023-10-03,QC-2023-000044,Brake warning light ON,"C0550, B1234",14.18,Connector damage,Production Failure,Valeo,142719
M&M,2024,2024-03-12,QC-2024-000045,Battery warning light ON,P0601,16.0,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,76879
Hyundai,2021,2021-07-11,QC-2021-000046,Brake warning light ON,C0265,14.1,Connector damage,Production Failure,Valeo,84656
Kia,2024,2024-06-23,QC-2024-000047,OBD Light ON,P0455,13.12,NTF,According to Specification,STM,73393
Hyundai,2023,2023-12-20,QC-2023-000048,Multiple warning lights ON,P0601,15.16,ASIC CJ327 failure due to EOS,Customer Failure,STM,15616
Ashok Leyland,2024,2024-10-23,QC-2024-000049,Multiple warning lights ON,P0602,15.89,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,24954
Honda,2021,2021-05-10,QC-2021-000050,Engine overheating,"P0481, U0001, P0620",17.49,Track burnt due to EOS,Customer Failure,Bosch,65897
Hyundai,2022,2022-07-03,QC-2022-000051,Multiple warning lights ON,"P0304, P0480",19.39,Track burnt due to EOS,Customer Failure,STM,112119
Ashok Leyland,2022,2022-09-06,QC-2022-000052,ABS warning light ON,"C0045, B1234",13.98,Connector damage,Production Failure,Bosch,97851
Ashok Leyland,2024,2024-03-28,QC-2024-000053,OBD Light ON,,13.57,NTF,According to Specification,Hanon,12152
Ashok Leyland,2020,2020-06-28,QC-2020-000054,ABS warning light ON,"C0045, P0325",13.48,Connector damage,Production Failure,Bosch,88768
Ashok Leyland,2020,2020-07-14,QC-2020-000055,Engine overheating,"P0481, P1682",16.93,Track burnt due to EOS,Customer Failure,Delphi,52189
M&M,2024,2024-10-27,QC-2024-000056,Starting Problem,"U0155, U0103",10.6,controller failure due to supplier production failure,Production Failure,STM,42383
Honda,2021,2021-04-16,QC-2021-000057,Low pickup,P0602,15.24,ASIC CJ327 failure due to EOS,Production Failure,STM,75565
Toyota,2024,2024-06-07,QC-2024-000058,Multiple warning lights ON,U0131,10.19,controller failure due to supplier production failure,Production Failure,Delphi,13266
Honda,2023,2023-09-25,QC-2023-000059,OBD Light ON,B1234,12.9,Connector damage,Production Failure,Delphi,112891
Ashok Leyland,2024,2024-05-16,QC-2024-000060,Vehicle not starting,"P0304, U0100",19.87,Track burnt due to EOS,Customer Failure,Hanon,47107
Toyota,2022,2022-05-17,QC-2022-000061,OBD Light ON,,13.45,NTF,According to Specification,STM,48369
TATA,2021,2021-08-11,QC-2021-000062,Engine overheating,,12.68,NTF,According to Specification,Valeo,38685
Toyota,2024,2024-01-15,QC-2024-000063,Vehicle not starting,"P0563, P0615, P0562",16.42,Track burnt due to EOS,Customer Failure,Bosch,12795
TATA,2024,2024-05-14,QC-2024-000064,Engine overheating,P0117,12.85,Sensor short due to moisture,Customer Failure,STM,94133
Hyundai,2021,2021-12-06,QC-2021-000065,Starting Problem,B2960,13.04,Connector damage,Production Failure,Delphi,25149
M&M,2020,2020-07-29,QC-2020-000066,Engine overheating,"P0301, P0480",19.9,Track burnt due to EOS,Customer Failure,Valeo,59393
TATA,2023,2023-05-01,QC-2023-000067,Transmission jerking,"U0101, P0301, P0615",19.16,Track burnt due to EOS,Customer Failure,Valeo,79487
Kia,2022,2022-01-13,QC-2022-000068,Rough idling,"P0303, P0615, U0155, P0480",16.17,Track burnt due to EOS,Customer Failure,Hanon,62094
Honda,2023,2023-09-22,QC-2023-000069,ABS warning light ON,C0051,13.1,Connector damage,Production Failure,Bosch,57162
Hyundai,2022,2022-10-09,QC-2022-000070,Multiple warning lights ON,U0103,11.44,controller failure due to supplier production failure,Production Failure,Hanon,16947
M&M,2020,2020-09-03,QC-2020-000071,Low pickup,,12.75,NTF,According to Specification,STM,54836
TATA,2021,2021-05-07,QC-2021-000072,Vehicle not starting,"P0480, U0001, U0155, P0620",17.08,Track burnt due to EOS,Customer Failure,Bosch,68399
Honda,2023,2023-05-31,QC-2023-000073,Multiple warning lights ON,U0103,10.09,controller failure due to supplier production failure,Production Failure,Bosch,12889
Honda,2023,2023-04-21,QC-2023-000074,Engine jerking during acceleration,P0607,14.75,ASIC CJ327 failure due to EOS,Production Failure,STM,89354
TATA,2024,2024-05-09,QC-2024-000075,Multiple warning lights ON,"B3055, C0031",14.13,Connector damage,Customer Failure,Delphi,134396
Ashok Leyland,2024,2024-02-09,QC-2024-000076,Transmission jerking,U0001,9.63,controller failure due to supplier production failure,Production Failure,Bosch,500
Toyota,2022,2022-07-27,QC-2022-000077,Engine overheating,P0072,13.0,Sensor short due to moisture,Customer Failure,Bosch,70048
Ashok Leyland,2024,2024-08-13,QC-2024-000078,OBD Light ON,,13.07,NTF,According to Specification,Valeo,41996
M&M,2022,2022-03-21,QC-2022-000079,Engine overheating,"P0304, P1682",18.74,Track burnt due to EOS,Customer Failure,Valeo,61314
Kia,2022,2022-04-05,QC-2022-000080,OBD Light ON,,13.79,NTF,According to Specification,Hanon,33526
TATA,2023,2023-04-12,QC-2023-000081,Engine overheating,"P0563, P0301, P0620",18.23,Track burnt due to EOS,Customer Failure,Valeo,82817
M&M,2021,2021-10-09,QC-2021-000082,Engine overheating,,12.52,NTF,According to Specification,Hanon,81017
Kia,2020,2020-10-19,QC-2020-000083,High fuel consumption,P0602,15.53,ASIC CJ327 failure due to EOS,Customer Failure,Hanon,113585
Honda,2022,2022-11-12,QC-2022-000084,Multiple warning lights ON,P0606,15.7,ASIC CJ327 failure due to EOS,Production Failure,Valeo,37577
Hyundai,2024,2024-07-17,QC-2024-000085,OBD Light ON,P0196,12.24,Sensor short due to moisture,Customer Failure,Valeo,47789
Honda,2023,2023-07-12,QC-2023-000086,ABS warning light ON,C0051,12.5,Connector damage,Production Failure,Valeo,47224
Honda,2023,2023-04-14,QC-2023-000087,Engine stalling,P0054,12.75,Sensor short due to moisture,Customer Failure,Delphi,44948
Kia,2021,2021-04-28,QC-2021-000088,Multiple warning lights ON,U0140,9.14,controller failure due to supplier production failure,Production Failure,STM,25589
TATA,2021,2021-07-07,QC-2021-000089,Multiple warning lights ON,"P0606, P0611",14.95,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,91564
TATA,2019,2019-10-15,QC-2019-000090,Low pickup,,13.14,NTF,According to Specification,Bosch,14387
Hyundai,2024,2024-09-06,QC-2024-000091,OBD Light ON,,13.26,NTF,According to Specification,Bosch,78461
Toyota,2023,2023-06-18,QC-2023-000092,Multiple warning lights ON,U0103,11.22,controller failure due to supplier production failure,Production Failure,Bosch,35244
M&M,2022,2022-05-26,QC-2022-000093,OBD Light ON,,13.27,NTF,According to Specification,Delphi,34496
Hyundai,2021,2021-09-14,QC-2021-000094,Starting Problem,P0607,14.95,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,66791
Hyundai,2021,2021-05-17,QC-2021-000095,Rough idling,"P0304, P0482, P1682",17.73,Track burnt due to EOS,Customer Failure,Hanon,108945
TATA,2024,2024-06-14,QC-2024-000096,OBD Light ON,,12.56,NTF,According to Specification,Delphi,3033
Kia,2019,2019-05-24,QC-2019-000097,ABS warning light ON,"C0051, B2960",13.88,Connector damage,Production Failure,Delphi,74718
M&M,2021,2021-02-16,QC-2021-000098,Starting Problem,"P0563, P0604",15.69,ASIC CJ327 failure due to EOS,Customer Failure,STM,42236
M&M,2023,2023-06-28,QC-2023-000099,Vehicle not starting,"U0001, P0481, P0482, P0480, P0301",16.1,Track burnt due to EOS,Customer Failure,Bosch,95056
Ashok Leyland,2024,2024-08-02,QC-2024-000100,Multiple warning lights ON,P0607,16.0,ASIC CJ327 failure due to EOS,Customer Failure,STM,60434
Hyundai,2024,2024-08-23,QC-2024-000101,OBD Light ON,,12.73,NTF,According to Specification,Hanon,59445
Ashok Leyland,2024,2024-01-15,QC-2024-000102,Engine jerking during acceleration,P0606,15.46,ASIC CJ327 failure due to EOS,Customer Failure,STM,56702
TATA,2022,2022-04-15,QC-2022-000103,Low pickup,P0608,15.4,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,51114
Kia,2023,2023-03-29,QC-2023-000104,Engine stalling,"P0128, P0054",12.76,Sensor short due to moisture,Customer Failure,Hanon,55682
TATA,2022,2022-01-04,QC-2022-000105,Brake warning light ON,"B2960, B1045",13.52,Connector damage,Customer Failure,Bosch,116407
Honda,2023,2023-06-30,QC-2023-000106,Engine overheating,"P0118, P0054",13.26,Sensor short due to moisture,Customer Failure,STM,44254
Kia,2023,2023-02-16,QC-2023-000107,Battery warning light ON,P0607,14.71,ASIC CJ327 failure due to EOS,Production Failure,Hanon,49146
Honda,2024,2024-09-23,QC-2024-000108,Engine overheating,"P0480, U0001",16.24,Track burnt due to EOS,Customer Failure,Hanon,77373
Hyundai,2020,2020-07-18,QC-2020-000109,Starting Problem,P0608,15.32,ASIC CJ327 failure due to EOS,Production Failure,STM,80090
Ashok Leyland,2023,2023-02-05,QC-2023-000110,OBD Light ON,,13.53,NTF,According to Specification,Bosch,500
Kia,2023,2023-10-31,QC-2023-000111,Battery warning light ON,"P0562, P0481, P0300, U0001",18.67,Track burnt due to EOS,Customer Failure,Valeo,113073
M&M,2022,2022-05-25,QC-2022-000112,OBD Light ON,P0131,13.13,Sensor short due to moisture,Customer Failure,Valeo,52331
Kia,2022,2022-06-09,QC-2022-000113,Starting Problem,"P0113, P0118",13.32,Sensor short due to moisture,Customer Failure,Bosch,59516
Hyundai,2021,2021-01-30,QC-2021-000114,ABS warning light ON,"C0051, C0265",13.26,Connector damage,Production Failure,Hanon,96846
Kia,2020,2020-02-18,QC-2020-000115,Multiple warning lights ON,U0001,10.49,controller failure due to supplier production failure,Production Failure,STM,31942
M&M,2022,2022-10-09,QC-2022-000116,Vehicle not starting,U0184,10.33,controller failure due to supplier production failure,Production Failure,STM,38282
Hyundai,2023,2023-07-05,QC-2023-000117,OBD Light ON,P0456,13.04,NTF,According to Specification,Delphi,80511
Ashok Leyland,2024,2024-03-13,QC-2024-000118,ABS warning light ON,"C0031, B3055",14.3,Connector damage,Production Failure,Delphi,69501
Kia,2019,2019-09-07,QC-2019-000119,Engine jerking during acceleration,"P0301, P0562, U0100, P1682, U0155",17.71,Track burnt due to EOS,Customer Failure,Valeo,19851
Toyota,2023,2023-09-21,QC-2023-000120,ABS warning light ON,C0036,13.86,Connector damage,Production Failure,Delphi,110289
Hyundai,2022,2022-06-18,QC-2022-000121,Rough idling,P0069,13.5,Sensor short due to moisture,Customer Failure,STM,27240
Ashok Leyland,2022,2022-04-16,QC-2022-000122,High fuel consumption,,13.21,NTF,According to Specification,STM,57367
M&M,2024,2024-07-20,QC-2024-000123,Engine stalling,"P0073, P0135",12.66,Sensor short due to moisture,Customer Failure,Valeo,53091
TATA,2019,2019-01-16,QC-2019-000124,Battery warning light ON,P0563,15.43,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,46248
Hyundai,2023,2023-05-11,QC-2023-000125,Multiple warning lights ON,"U0100, P0562, U0101, P0615",18.29,Track burnt due to EOS,Customer Failure,Hanon,104398
M&M,2023,2023-02-02,QC-2023-000126,Engine overheating,"P0482, P0304",18.01,Track burnt due to EOS,Customer Failure,Delphi,86555
M&M,2024,2024-10-08,QC-2024-000127,Engine stalling,,12.55,NTF,According to Specification,Valeo,61015
Hyundai,2020,2020-11-03,QC-2020-000128,Brake warning light ON,C0550,13.95,Connector damage,Production Failure,STM,75140
Hyundai,2021,2021-07-27,QC-2021-000129,Engine overheating,P0128,12.87,Sensor short due to moisture,Customer Failure,Bosch,96016
Kia,2021,2021-03-12,QC-2021-000130,OBD Light ON,,12.89,NTF,According to Specification,Valeo,25877
TATA,2023,2023-07-31,QC-2023-000131,Starting Problem,,13.58,NTF,According to Specification,Valeo,81386
Honda,2021,2021-04-03,QC-2021-000132,Engine overheating,,13.0,NTF,According to Specification,Valeo,76875
Ashok Leyland,2020,2020-10-03,QC-2020-000133,Rough idling,"P0303, P0563, P0620, U0100, P0302",18.37,Track burnt due to EOS,Customer Failure,Bosch,38302
M&M,2023,2023-11-14,QC-2023-000134,Multiple warning lights ON,U0164,9.95,controller failure due to supplier production failure,Production Failure,STM,27409
Toyota,2024,2024-10-02,QC-2024-000135,OBD Light ON,P0072,11.75,Sensor short due to moisture,Customer Failure,Bosch,69504
Toyota,2022,2022-10-07,QC-2022-000136,OBD Light ON,P0420,13.33,NTF,According to Specification,Hanon,39926
Toyota,2020,2020-06-24,QC-2020-000137,ABS warning light ON,"C0045, C0265",12.5,Connector damage,Production Failure,Hanon,88075
TATA,2024,2024-08-04,QC-2024-000138,Rough idling,P0610,15.46,ASIC CJ327 failure due to EOS,Production Failure,STM,50858
Hyundai,2024,2024-07-01,QC-2024-000139,Starting Problem,"U0122, U0100",10.36,controller failure due to supplier production failure,Production Failure,Delphi,52633
M&M,2022,2022-03-12,QC-2022-000140,ABS warning light ON,C0036,13.5,Connector damage,Production Failure,Bosch,97963
Honda,2022,2022-01-30,QC-2022-000141,OBD Light ON,P0196,12.48,Sensor short due to moisture,Customer Failure,Delphi,21744
Ashok Leyland,2023,2023-11-07,QC-2023-000142,OBD Light ON,P0174,13.26,NTF,According to Specification,Bosch,91145
Hyundai,2019,2019-02-25,QC-2019-000143,Low pickup,,12.86,NTF,According to Specification,STM,85004
Honda,2024,2024-08-03,QC-2024-000144,Engine overheating,,12.73,NTF,According to Specification,Hanon,100281
Honda,2020,2020-09-24,QC-2020-000145,High fuel consumption,,13.69,NTF,According to Specification,Valeo,62534
Honda,2019,2019-11-18,QC-2019-000146,Battery warning light ON,"P0562, U0155",18.94,Track burnt due to EOS,Customer Failure,STM,75168
Hyundai,2023,2023-07-22,QC-2023-000147,Brake warning light ON,B3055,13.04,Connector damage,Production Failure,Valeo,39766
Toyota,2023,2023-01-26,QC-2023-000148,Rough idling,,13.22,NTF,According to Specification,Bosch,40782
Kia,2020,2020-07-22,QC-2020-000149,High fuel consumption,P0174,13.21,NTF,According to Specification,Valeo,112573
Ashok Leyland,2024,2024-09-23,QC-2024-000150,Starting Problem,"P0113, P0054",13.05,Sensor short due to moisture,Customer Failure,Valeo,103855
Ashok Leyland,2024,2024-01-10,QC-2024-000151,Brake warning light ON,C0460,12.5,Connector damage,Production Failure,STM,42556
Toyota,2023,2023-06-26,QC-2023-000152,ABS warning light ON,"C0045, P0720",13.13,Connector damage,Production Failure,Valeo,66462
M&M,2023,2023-10-08,QC-2023-000153,OBD Light ON,,12.99,NTF,According to Specification,Delphi,36710
Kia,2024,2024-03-26,QC-2024-000154,Engine stalling,P0038,12.21,Sensor short due to moisture,Customer Failure,Hanon,68712
TATA,2022,2022-01-07,QC-2022-000155,ABS warning light ON,C0051,13.77,Connector damage,Production Failure,Bosch,128058
M&M,2019,2019-07-11,QC-2019-000156,Multiple warning lights ON,"U0121, U0100",9.58,controller failure due to supplier production failure,Production Failure,Bosch,15246
Honda,2024,2024-09-03,QC-2024-000157,OBD Light ON,,13.63,NTF,According to Specification,Bosch,13362
Toyota,2022,2022-08-05,QC-2022-000158,Engine jerking during acceleration,P0563,16.0,ASIC CJ327 failure due to EOS,Customer Failure,STM,76330
Ashok Leyland,2024,2024-07-28,QC-2024-000159,OBD Light ON,,13.26,NTF,According to Specification,Delphi,24739
Kia,2022,2022-11-08,QC-2022-000160,Low pickup,,12.72,NTF,According to Specification,Hanon,91563
TATA,2024,2024-10-11,QC-2024-000161,Multiple warning lights ON,"U0073, U0131",10.57,controller failure due to supplier production failure,Production Failure,Bosch,26102
Honda,2021,2021-07-24,QC-2021-000162,Battery warning light ON,"P0563, P0302",18.54,Track burnt due to EOS,Customer Failure,STM,24865
Honda,2022,2022-09-27,QC-2022-000163,Transmission jerking,U0164,10.96,controller failure due to supplier production failure,Production Failure,Delphi,500
Hyundai,2019,2019-10-05,QC-2019-000164,Rough idling,P0602,15.7,ASIC CJ327 failure due to EOS,Production Failure,Bosch,88653
Kia,2024,2024-04-27,QC-2024-000165,Starting Problem,,14.11,NTF,According to Specification,Valeo,70680
Ashok Leyland,2024,2024-02-18,QC-2024-000166,OBD Light ON,P0174,13.4,NTF,According to Specification,Valeo,500
Kia,2021,2021-07-11,QC-2021-000167,Engine overheating,"P0038, P0128",12.97,Sensor short due to moisture,Customer Failure,Valeo,94126
Honda,2024,2024-12-15,QC-2024-000168,OBD Light ON,,13.34,NTF,According to Specification,Delphi,47094
Hyundai,2021,2021-04-05,QC-2021-000169,Battery warning light ON,"P0562, P0300, P0481, P0302, P0304",18.18,Track burnt due to EOS,Customer Failure,Delphi,172315
Ashok Leyland,2020,2020-05-25,QC-2020-000170,Starting Problem,P0325,13.04,NTF,According to Specification,STM,10333
Ashok Leyland,2022,2022-03-08,QC-2022-000171,Battery warning light ON,C0550,12.5,Connector damage,Production Failure,Delphi,151077
Toyota,2023,2023-04-05,QC-2023-000172,Rough idling,P0340,13.35,NTF,According to Specification,Hanon,117171
M&M,2024,2024-03-21,QC-2024-000173,Starting Problem,"P0562, U0100, P0300, U0101, P0620",17.23,Track burnt due to EOS,Customer Failure,Delphi,55538
Ashok Leyland,2024,2024-12-24,QC-2024-000174,Multiple warning lights ON,"P0607, P0610",15.15,ASIC CJ327 failure due to EOS,Production Failure,Valeo,53838
Honda,2022,2022-12-25,QC-2022-000175,Starting Problem,B2960,13.37,Connector damage,Production Failure,Bosch,35345
M&M,2021,2021-10-02,QC-2021-000176,OBD Light ON,,13.01,NTF,According to Specification,Bosch,29922
Honda,2023,2023-02-16,QC-2023-000177,Rough idling,"P0300, P0620",18.02,Track burnt due to EOS,Customer Failure,Delphi,102698
Ashok Leyland,2023,2023-04-15,QC-2023-000178,Engine jerking during acceleration,P0607,15.09,ASIC CJ327 failure due to EOS,Customer Failure,Valeo,24524
M&M,2024,2024-04-10,QC-2024-000179,Starting Problem,,13.88,NTF,According to Specification,Bosch,13253
Kia,2024,2024-04-09,QC-2024-000180,Engine overheating,"P0481, P0620, P0480",17.78,Track burnt due to EOS,Customer Failure,STM,115707
Ashok Leyland,2020,2020-01-21,QC-2020-000181,Starting Problem,"U0101, U0100",17.98,Track burnt due to EOS,Customer Failure,Delphi,100754
Kia,2024,2024-10-01,QC-2024-000182,Battery warning light ON,"P0563, U0100, P0615, P0481",17.8,Track burnt due to EOS,Customer Failure,Delphi,205088
Honda,2023,2023-03-16,QC-2023-000183,OBD Light ON,,12.93,NTF,According to Specification,Bosch,19524
Toyota,2023,2023-02-24,QC-2023-000184,Engine overheating,"P0482, P0302, P1682",18.63,Track burnt due to EOS,Customer Failure,Bosch,55826
Toyota,2019,2019-12-11,QC-2019-000185,Engine stalling,,12.81,NTF,According to Specification,Delphi,54364
Honda,2021,2021-09-04,QC-2021-000186,Multiple warning lights ON,"U0101, P0620",18.69,Track burnt due to EOS,Customer Failure,Valeo,64567
Ashok Leyland,2024,2024-08-06,QC-2024-000187,Multiple warning lights ON,U0001,10.9,controller failure due to supplier production failure,Production Failure,Delphi,37949
Honda,2022,2022-09-02,QC-2022-000188,Rough idling,"P0304, P0482, P0480",17.31,Track burnt due to EOS,Customer Failure,Valeo,97822
Honda,2022,2022-03-06,QC-2022-000189,Engine overheating,"P0482, U0100, U0155, P1682",18.48,Track burnt due to EOS,Customer Failure,Valeo,159913
TATA,2019,2019-10-18,QC-2019-000190,Multiple warning lights ON,U0155,10.6,controller failure due to supplier production failure,Production Failure,STM,32515
M&M,2024,2024-07-19,QC-2024-000191,Battery warning light ON,"P0563, P0615, P1682",16.98,Track burnt due to EOS,Customer Failure,Delphi,42772
Honda,2020,2020-05-27,QC-2020-000192,Multiple warning lights ON,U0131,9.91,controller failure due to supplier production failure,Production Failure,Valeo,58007
M&M,2023,2023-07-22,QC-2023-000193,ABS warning light ON,C0031,12.5,Connector damage,Production Failure,Bosch,69061
Ashok Leyland,2023,2023-07-01,QC-2023-000194,OBD Light ON,,12.91,NTF,According to Specification,STM,128346
M&M,2022,2022-12-14,QC-2022-000195,ABS warning light ON,C0031,13.52,Connector damage,Production Failure,Hanon,152500
TATA,2020,2020-09-18,QC-2020-000196,ABS warning light ON,C0036,13.47,Connector damage,Production Failure,Hanon,114142
Toyota,2020,2020-11-17,QC-2020-000197,High fuel consumption,P0607,15.32,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,61973
Toyota,2019,2019-12-04,QC-2019-000198,Multiple warning lights ON,U0184,9.76,controller failure due to supplier production failure,Production Failure,STM,10481
TATA,2023,2023-09-29,QC-2023-000199,Multiple warning lights ON,"U0001, P0562, P1682",16.23,Track burnt due to EOS,Customer Failure,Bosch,1000
Ashok Leyland,2020,2020-02-25,QC-2020-000200,ABS warning light ON,"C0051, B2960",13.87,Connector damage,Production Failure,Bosch,40447
Kia,2022,2022-02-24,QC-2022-000201,Multiple warning lights ON,"U0155, U0101, P0303",18.15,Track burnt due to EOS,Customer Failure,STM,67139
Honda,2023,2023-04-16,QC-2023-000202,Rough idling,"P0303, U0001",18.12,Track burnt due to EOS,Customer Failure,Hanon,24303
Ashok Leyland,2021,2021-01-27,QC-2021-000203,High fuel consumption,P0073,12.84,Sensor short due to moisture,Customer Failure,Hanon,98160
Honda,2024,2024-04-25,QC-2024-000204,Multiple warning lights ON,U0001,9.66,controller failure due to supplier production failure,Production Failure,STM,42456
Honda,2024,2024-02-03,QC-2024-000205,ABS warning light ON,C0051,13.25,Connector damage,Production Failure,Bosch,74892
Toyota,2024,2024-07-17,QC-2024-000206,Starting Problem,P0196,11.89,Sensor short due to moisture,Customer Failure,STM,50054
Honda,2022,2022-08-16,QC-2022-000207,High fuel consumption,P0174,12.5,NTF,According to Specification,Delphi,73864
Kia,2024,2024-04-18,QC-2024-000208,Vehicle not starting,U0101,10.69,controller failure due to supplier production failure,Production Failure,Bosch,20519
M&M,2024,2024-03-11,QC-2024-000209,ABS warning light ON,C0031,13.57,Connector damage,Production Failure,Bosch,148673
Hyundai,2023,2023-02-27,QC-2023-000210,Starting Problem,P0602,15.64,ASIC CJ327 failure due to EOS,Production Failure,STM,22365
M&M,2020,2020-05-07,QC-2020-000211,Brake warning light ON,B3055,14.5,Connector damage,Production Failure,Delphi,37014
Honda,2021,2021-05-01,QC-2021-000212,Vehicle not starting,U0184,11.42,controller failure due to supplier production failure,Production Failure,Bosch,55219
